5L505-105, 5, L, 50, 5, -10, 5, 0, 92.44, 2.45, 0.000, 22, 81.08, 1.14, 0.000, 31, 71.65, 1.43, 0.000, 38, 62.00, 1.95, 0.000, 44, 50.59, 2.27, 0.000, 50, 36.51, 2.25, 0.000, 54, 26.90, 2.16, 0.000, 59, 16.07, 2.01, 0.000, 63, 9.35, 1.79, 0.000, 67, 4.83, 1.41, 0.000, 71, 2.15, 0.93, 0.000, 129.64
5L507.5-105, 5, L, 50, 7.5, -10, 5, 0, 91.61, 3.02, 0.000, 22, 81.10, 1.47, 0.000, 31, 71.67, 1.65, 0.000, 38, 61.93, 2.11, 0.000, 44, 50.52, 2.43, 0.000, 50, 36.57, 2.37, 0.000, 54, 27.08, 2.25, 0.000, 59, 16.38, 2.11, 0.000, 63, 9.70, 1.90, 0.000, 67, 5.17, 1.52, 0.000, 71, 2.43, 1.02, 0.000, 130.09
5L5010-105, 5, L, 50, 10, -10, 5, 0, 90.65, 3.66, 0.000, 22, 80.96, 1.79, 0.000, 31, 71.62, 1.88, 0.000, 38, 61.83, 2.31, 0.000, 44, 50.47, 2.65, 0.000, 50, 36.72, 2.52, 0.000, 54, 27.38, 2.37, 0.000, 59, 16.85, 2.23, 0.000, 63, 10.24, 2.04, 0.000, 67, 5.71, 1.66, 0.003, 71, 2.91, 1.13, 0.000, 129.87
5L50505, 5, L, 50, 5, 0, 5, 0, 97.56, 0.87, 0.000, 22, 91.56, 1.07, 0.127, 31, 82.88, 1.38, 0.003, 38, 73.18, 1.88, 0.036, 44, 61.59, 2.23, 0.986, 50, 47.22, 2.35, 0.854, 54, 37.18, 2.41, 0.002, 59, 25.33, 2.43, 0.000, 63, 17.26, 2.26, 0.450, 67, 10.92, 1.87, 0.586, 71, 6.19, 1.33, 0.000, 130.04
5L507.505, 5, L, 50, 7.5, 0, 5, 0, 96.99, 1.53, 0.004, 22, 90.91, 1.31, 0.671, 31, 82.63, 1.55, 0.071, 38, 73.11, 2.06, 0.168, 44, 61.60, 2.41, 0.974, 50, 47.30, 2.47, 0.860, 54, 37.29, 2.50, 0.040, 59, 25.52, 2.51, 0.006, 63, 17.55, 2.36, 0.712, 67, 11.34, 1.96, 0.297, 71, 6.77, 1.42, 0.000, 129.61
5L501005, 5, L, 50, 10, 0, 5, 0, 96.24, 2.11, 0.019, 22, 90.15, 1.56, 0.924, 31, 82.31, 1.73, 0.307, 38, 73.06, 2.26, 0.331, 44, 61.69, 2.63, 0.956, 50, 47.44, 2.61, 0.874, 54, 37.47, 2.60, 0.168, 59, 25.77, 2.62, 0.098, 63, 17.91, 2.48, 0.834, 67, 11.86, 2.08, 0.153, 71, 7.47, 1.52, 0.000, 129.41
5L505105, 5, L, 50, 5, 10, 5, 0, 98.97, 0.43, 0.002, 22, 97.99, 0.67, 0.000, 31, 92.55, 1.10, 0.000, 38, 83.99, 1.81, 0.000, 44, 72.80, 2.23, 0.000, 50, 58.46, 2.42, 0.000, 54, 48.20, 2.54, 0.000, 59, 35.78, 2.61, 0.000, 63, 26.99, 2.47, 0.000, 67, 19.72, 2.10, 0.000, 71, 13.95, 1.60, 0.000, 129.96
5L507.5105, 5, L, 50, 7.5, 10, 5, 0, 98.72, 0.60, 0.009, 22, 97.12, 0.88, 0.000, 31, 91.86, 1.23, 0.000, 38, 83.73, 1.96, 0.000, 44, 72.80, 2.38, 0.000, 50, 58.52, 2.52, 0.000, 54, 48.24, 2.62, 0.000, 59, 35.82, 2.72, 0.000, 63, 27.08, 2.59, 0.000, 67, 19.94, 2.21, 0.000, 71, 14.36, 1.70, 0.000, 129.51
5L5010105, 5, L, 50, 10, 10, 5, 0, 98.37, 0.95, 0.044, 22, 96.14, 1.10, 0.000, 31, 91.06, 1.36, 0.000, 38, 83.33, 2.13, 0.000, 44, 72.68, 2.56, 0.000, 50, 58.53, 2.65, 0.000, 54, 48.31, 2.74, 0.000, 59, 35.96, 2.86, 0.000, 63, 27.33, 2.75, 0.000, 67, 20.34, 2.36, 0.000, 71, 14.94, 1.83, 0.000, 129.53
5L505-1010, 5, L, 50, 5, -10, 10, 0, 92.60, 3.12, 0.000, 22, 81.26, 1.52, 0.000, 31, 71.77, 1.67, 0.000, 38, 61.90, 2.15, 0.000, 44, 50.41, 2.49, 0.000, 50, 36.41, 2.40, 0.000, 54, 26.86, 2.24, 0.000, 59, 16.03, 2.05, 0.000, 63, 9.17, 1.86, 0.000, 67, 4.55, 1.53, 0.000, 71, 1.87, 1.07, 0.046, 81.29
