0;	-5;	2;	1,17;	94,82;	94,27;	94,13;	92,69;	91,71;	90,82;	89,79;	89,36;	88,04;	87,38;	86,56;	85,08;	85,07;	84,85;	83,63;	83,61;	83,33;	82,69;	82,33;	80,7;	80,04;	78,31;	77,81;	77,65;	77,34;	76,37;	74,84;	73,77;	72,48;	71,24;	70,9;	67,8;	67,24;	66,43;	66,0;	65,14;	64,75;	61,96;	60,03;	59,98;	59,57;	58,71;	57,46;	55,08;	55,03;	54,7;	53,98;	53,98;	53,78;	53,25;	52,74;	52,36;	51,66;	50,79;	50,23;	49,56;	48,57;	47,82;	47,15;	46,85;	46,46;	46,28;	44,7;	42,43;	41,45;	39,33;	38,7;	37,99;	36,65;	36,5;	36,01;	34,28;	34,27;	32,98;	32,07;	31,47;	31,29;	30,75;	29,35;	29,06;	28,52;	27,29;	27,26;	27,08;	26,85;	26,77;	26,53;	25,65;	24,95;	22,23;	21,69;	21,33;	21,05;	19,7;	18,4;	17,89;	17,3;	17,21;	14,94;	13,33;	12,39
1;	-11;	2;	1,01;	91,19;	89,79;	88,18;	87,3;	85,43;	85,43;	84,93;	83,98;	82,84;	82,44;	81,86;	80,59;	79,58;	79,39;	78,14;	76,43;	76,21;	75,13;	73,55;	72,39;	70,73;	69,81;	69,06;	66,9;	65,44;	65,15;	63,24;	62,71;	60,73;	60,48;	59,93;	58,97;	57,08;	55,02;	54,78;	53,87;	52,29;	52,17;	49,98;	48,63;	47,98;	46,63;	45,73;	44,74;	43,82;	42,35;	42,16;	41,8;	41,31;	40,42;	38,91;	38,44;	36,75;	35,61;	34,34;	34,05;	33,74;	33,55;	33,1;	31,57;	30,78;	29,87;	29,28;	28,69;	28,59;	28,19;	28,04;	27,94;	27,36;	26,4;	26,25;	25,19;	24,01;	21,56;	21,11;	20,08;	19,87;	19,14;	17,7;	16,89;	16,2;	15,15;	13,29;	12,51;	10,93;	10,85;	10,16;	9,05;	8,41;	7,79;	7,29;	5,85;	5,58;	3,88;	3,43;	2,13;	2,12;	1,06;	0,43;	0,29;	0
2;	-6;	2;	1,08;	93,91;	90,58;	89,49;	88,17;	88,12;	86,19;	84,79;	84,57;	83,67;	83,18;	81,68;	81,49;	79,72;	79,53;	79,34;	77,22;	77,12;	77,1;	76,98;	76,39;	75,43;	73,07;	72,9;	72,85;	72,73;	72,48;	71,33;	70,47;	69,65;	68,65;	68,5;	68,34;	68,27;	67,79;	65,8;	64,66;	64,37;	63,91;	62,57;	62,35;	62,1;	61,06;	60,54;	60,47;	60,4;	59,81;	58,12;	57,0;	54,12;	53,13;	52,56;	51,13;	50,27;	50,23;	49,18;	47,88;	46,77;	44,1;	43,62;	43,19;	42,91;	42,37;	40,15;	39,34;	38,12;	36,89;	36,5;	35,61;	35,04;	33,91;	31,81;	30,76;	30,47;	30,42;	27,18;	26,06;	24,18;	23,92;	23,49;	23,37;	23,35;	23,25;	21,42;	19,42;	19,19;	18,79;	17,92;	17,13;	15,69;	15,47;	15,41;	14,76;	13,35;	13,28;	12,26;	11,07;	9,75;	9,64;	8,14;	8,13;	6,14
3;	23;	2;	0,89;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,35;	98,7;	97,99;	96,1;	95,4;	94,79;	94,15;	93,09;	92,37;	92,08;	91,85;	89,56;	88,68;	87,78;	86,94;	86,8;	86,31;	86,24;	85,05;	84,27;	82,6;	82,57;	82,28;	80,99;	80,02;	79,76;	78,58;	77,89;	77,61;	76,27;	75,19;	73,89;	73,64;	73,61;	73,53;	72,98;	72,88;	71,32;	70,7;	70,3;	69,49;	69,19;	67,83;	67,4;	67,12;	66,08;	65,45;	65,22;	64,88;	63,82;	63,8;	63,78;	63,43;	63,17;	62,02;	61,5;	60,52;	59,99;	59,17;	58,55;	57,68;	56,73;	55,26;	55,18;	54,46;	54,18;	53,16;	52,9;	51,29;	50,77;	50,2;	49,77;	49,49;	48,92;	48,91;	47,15;	47,02
4;	-6;	2;	1,11;	97,19;	97,02;	95,56;	95,33;	95,12;	94,95;	93,73;	93,22;	91,89;	91,19;	90,48;	90,03;	88,99;	88,38;	87,14;	85,84;	85,7;	85,38;	84,71;	82,3;	79,97;	79,32;	78,37;	75,84;	74,66;	74,19;	71,83;	70,45;	70,26;	69,65;	69,26;	67,92;	66,93;	65,97;	65,49;	64,28;	63,44;	62,13;	62,13;	61,14;	60,55;	59,63;	58,76;	58,16;	56,88;	56,35;	55,07;	53,81;	51,95;	51,69;	50,26;	49,75;	47,75;	45,95;	43,84;	43,65;	42,9;	41,91;	41,02;	40,73;	39,03;	38,8;	37,79;	35,05;	32,52;	31,21;	29,66;	26,95;	26,37;	24,58;	23,82;	22,46;	21,28;	20,68;	20,58;	18,34;	17,61;	14,83;	14,45;	12,74;	12,58;	11,91;	10,53;	10,09;	9,94;	9,9;	8,52;	7,55;	7,4;	7,24;	6,44;	6,39;	4,83;	4,69;	2,89;	2,64;	1,46;	0,8;	0;	0;	0
5;	-1;	2;	0,99;	99,41;	99,16;	98,26;	97,6;	97,22;	97,14;	96,08;	95,01;	93,73;	93,5;	93,03;	91,6;	89,84;	88,26;	87,32;	86,18;	86,1;	83,85;	83,33;	81,99;	81,76;	81,22;	80,9;	80,89;	80,38;	80,12;	79,27;	78,21;	77,62;	77,41;	76,25;	75,37;	75,09;	74,61;	72,91;	72,62;	71,26;	69,66;	68,99;	68,45;	68,27;	67,98;	67,83;	67,07;	66,48;	64,65;	64,41;	63,21;	62,99;	61,82;	60,29;	60,21;	59,6;	58,04;	57,14;	56,99;	55,79;	55,18;	54,1;	54,09;	53,6;	53,16;	52,69;	52,56;	51,47;	50,88;	49,43;	49,19;	48,2;	45,87;	45,84;	45,82;	45,29;	44,36;	44,25;	43,35;	42,6;	41,84;	40,67;	39,18;	38,81;	38,61;	38,14;	37,76;	37,36;	36,62;	36,52;	36,45;	36,21;	36,17;	35,18;	35,0;	32,39;	31,79;	31,17;	30,82;	30,19;	29,61;	29,2;	28,57;	28,4
6;	18;	2;	1,02;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,8;	98,69;	98,65;	98,28;	98,14;	97,94;	96,54;	96,11;	93,99;	93,94;	93,45;	92,6;	89,31;	87,91;	87,62;	86,86;	86,23;	86,19;	85,16;	84,87;	84,26;	84,14;	82,78;	82,06;	81,86;	80,87;	79,64;	78,19;	77,43;	76,69;	76,2;	75,27;	73,07;	71,6;	71,21;	69,88;	68,39;	68,3;	68,1;	67,97;	66,24;	65,11;	64,01;	63,27;	62,43;	62,05;	60,02;	59,03;	58,11;	57,53;	56,64;	56,48;	55,88;	55,65;	54,45;	52,14;	52,06;	50,05;	49,05;	48,65;	48,12;	47,37;	47,11;	46,93;	46,23;	45,21;	44,57;	43,86;	43,48;	43,11;	42,4;	41,63;	39,99;	39,5;	39,25;	38,38;	37,33;	36,95;	35,28;	33,1;	32,41;	31,01
7;	-9;	2;	0,94;	91,44;	91,25;	90,39;	90,06;	89,98;	89,37;	88,6;	88,14;	86,44;	84,06;	83,74;	83,57;	83,05;	82,38;	80,31;	79,65;	78,79;	78,3;	76,98;	76,47;	75,7;	75,3;	73,98;	73,57;	73,5;	73,37;	72,68;	72,43;	72,15;	70,46;	69,66;	69,5;	69,14;	68,07;	67,05;	67,0;	66,84;	66,1;	64,04;	63,01;	62,63;	61,5;	61,04;	60,4;	60,34;	58,97;	58,15;	57,12;	55,26;	55,23;	55,18;	54,36;	53,96;	53,72;	52,45;	51,08;	50,67;	49,65;	49,0;	47,78;	47,51;	46,59;	46,08;	45,41;	45,27;	43,3;	42,7;	41,86;	40,24;	40,13;	39,98;	39,16;	37,37;	37,35;	37,29;	37,28;	36,5;	36,12;	34,77;	33,48;	33,45;	32,3;	31,92;	31,2;	30,12;	28,74;	28,55;	27,69;	27,68;	26,46;	25,24;	24,46;	23,56;	22,97;	22,44;	21,24;	20,78;	19,18;	18,09;	18,01;	17,24
8;	-5;	2;	0,79;	96,86;	96,43;	95,06;	94,76;	93,79;	93,46;	93,29;	92,23;	91,66;	90,64;	90,47;	89,62;	88,05;	86,52;	85,61;	85,34;	84,48;	83,68;	83,37;	82,51;	82,37;	81,26;	80,69;	79,87;	79,65;	79,44;	79,14;	78,84;	78,81;	78,59;	78,12;	77,15;	76,62;	76,13;	74,75;	74,72;	74,13;	73,86;	73,25;	72,72;	72,35;	72,21;	71,94;	71,29;	71,08;	69,97;	69,47;	68,46;	67,67;	67,65;	65,91;	64,9;	64,85;	64,27;	63,73;	62,53;	61,05;	60,34;	60,28;	59,31;	57,66;	56,91;	56,36;	55,57;	55,39;	54,87;	54,11;	52,63;	50,73;	50,46;	49,82;	48,5;	47,75;	46,65;	46,14;	45,57;	44,65;	44,56;	44,01;	43,69;	43,21;	42,74;	42,64;	41,02;	40,87;	39,67;	39,58;	39,44;	38,95;	38,69;	38,38;	37,72;	36,71;	36,08;	35,35;	34,78;	34,74;	34,64;	34,45;	33,91;	33,45
9;	-8;	2;	1,18;	91,77;	90,95;	90,71;	89,79;	88,28;	87,91;	87,65;	86,63;	86,51;	85,5;	84,69;	83,12;	82,78;	81,67;	80,94;	80,6;	78,63;	78,25;	77,05;	74,88;	72,34;	71,81;	69,54;	67,81;	66,32;	64,81;	63,6;	61,85;	61,7;	60,78;	60,3;	59,27;	56,45;	55,76;	53,53;	52,69;	51,88;	51,16;	50,83;	50,63;	50,06;	49,58;	49,41;	48,91;	48,04;	47,95;	47,59;	45,1;	43,26;	40,24;	39,42;	37,86;	37,46;	36,98;	36,07;	35,13;	33,14;	32,8;	32,47;	31,76;	31,16;	31,08;	30,58;	29,77;	28,99;	27,58;	26,63;	25,76;	25,28;	24,86;	24,64;	24,25;	23,58;	22,13;	19,72;	18,23;	17,56;	16,22;	14,31;	14,15;	13,28;	12,1;	11,68;	10,06;	9,79;	8,68;	7,8;	6,61;	6,29;	5,46;	5,27;	5,18;	5,04;	4,14;	2,56;	0,68;	0;	0;	0;	0;	0
