0;	-17;	3;	1,33;	72,53;	67,86;	65,8;	65,7;	65,12;	62,37;	61,59;	59,86;	57,39;	57,3;	56,35;	56,17;	51,78;	51,07;	48,42;	45,63;	42,8;	39,66;	38,02;	36,38;	34,2;	33,01;	30,26;	28,46;	25,07;	24,38;	23,92;	21,77;	21,31;	20,17;	13,83;	13,67;	10,64;	8,71;	7,17;	7,06;	5,23;	4,61;	3,99;	3,6;	3,37;	2,09;	1,58;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
1;	3;	3;	0,95;	nan;	nan;	nan;	100,0;	98,06;	97,48;	96,31;	94,83;	92,48;	89,96;	89,56;	89,54;	88,49;	87,41;	86,57;	86,24;	85,4;	82,43;	81,49;	79,67;	79,16;	78,08;	77,2;	76,63;	74,83;	74,19;	73,06;	72,73;	70,93;	68,97;	68,01;	67,4;	66,14;	65,32;	65,14;	65,12;	63,61;	63,24;	63,19;	61,91;	59,5;	57,51;	56,69;	56,15;	54,79;	52,38;	51,01;	48,89;	48,62;	48,12;	45,44;	44,67;	41,58;	40,87;	40,84;	40,56;	38,52;	37,34;	37,13;	36,89;	34,35;	33,59;	32,97;	32,42;	31,01;	29,42;	29,11;	29,09;	27,58;	27,5;	25,16;	23,08;	21,48;	19,99;	19,73;	18,77;	17,03;	16,54;	14,22;	13,67;	13,47;	13,35;	11,74;	10,71;	8,48;	8,48;	6,04;	5,44;	4,63;	3,22;	1,95;	1,59;	1,34;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
2;	4;	3;	0,95;	nan;	nan;	nan;	nan;	100,0;	99,02;	98,1;	96,32;	96,0;	95,62;	95,51;	94,91;	92,88;	92,29;	91,68;	90,56;	89,43;	88,67;	87,89;	87,28;	86,77;	85,3;	84,9;	84,84;	83,62;	82,07;	79,02;	78,99;	76,14;	75,66;	73,93;	73,32;	73,3;	70,28;	69,53;	68,11;	67,94;	67,56;	66,72;	65,8;	64,7;	64,34;	63,62;	63,28;	60,43;	57,45;	56,13;	54,09;	53,98;	53,62;	52,0;	51,58;	49,5;	48,99;	46,54;	46,13;	43,95;	43,48;	43,27;	42,42;	42,42;	41,8;	41,43;	40,7;	40,17;	39,0;	38,83;	37,19;	35,46;	34,62;	34,55;	34,38;	31,21;	30,51;	28,89;	27,32;	27,07;	25,5;	25,12;	22,52;	20,8;	18,71;	17,53;	16,47;	15,69;	14,91;	14,74;	12,05;	11,5;	10,22;	9,98;	9,47;	8,26;	7,23;	4,06;	3,81;	2,95;	2,55;	1,58;	0,03;	0,0
3;	9;	3;	1,07;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	97,69;	96,25;	95,55;	95,1;	93,3;	92,64;	92,41;	89,72;	86,9;	85,66;	84,47;	83,85;	79,77;	79,37;	78,17;	75,92;	75,42;	75,09;	75,03;	74,27;	72,23;	71,36;	69,31;	68,3;	68,04;	66,09;	62,81;	61,88;	61,04;	59,85;	57,66;	56,87;	55,93;	55,8;	54,62;	52,29;	51,77;	51,42;	51,37;	51,02;	49,65;	47,68;	47,06;	46,45;	45,37;	43,63;	41,13;	39,8;	38,73;	35,82;	33,72;	32,83;	30,33;	29,93;	29,03;	28,57;	28,5;	23,88;	22,48;	21,84;	19,99;	19,54;	18,56;	16,7;	16,0;	11,2;	10,47;	8,19;	5,8;	5,4;	5,28;	5,1;	2,87;	2,45;	1,63;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
4;	12;	3;	1,12;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,29;	99,12;	98,32;	97,31;	97,11;	96,16;	95,62;	95,22;	92,2;	91,0;	90,86;	90,83;	88,25;	85,63;	80,27;	78,18;	76,99;	76,99;	75,41;	72,87;	70,11;	67,09;	66,46;	65,44;	60,45;	60,29;	59,32;	59,15;	57,78;	57,68;	54,97;	54,09;	49,5;	45,38;	43,43;	41,68;	39,66;	39,19;	38,07;	37,02;	36,71;	34,26;	32,28;	31,46;	30,96;	30,55;	29,51;	29,26;	26,34;	24,93;	21,48;	20,63;	20,02;	19,69;	17,95;	16,63;	14,1;	13,96;	12,16;	9,84;	6,87;	4,41;	1,44;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
5;	-4;	3;	0,75;	97,05;	96,89;	96,01;	95,62;	95,54;	95,12;	94,39;	93,48;	92,55;	92,29;	91,91;	91,22;	90,6;	90,48;	89,19;	88,76;	88,33;	87,47;	87,26;	85,77;	85,05;	84,54;	82,84;	81,91;	81,66;	80,84;	79,51;	78,06;	77,86;	76,97;	76,92;	76,69;	76,64;	75,75;	74,73;	73,97;	73,72;	72,59;	72,17;	71,97;	71,69;	71,12;	69,86;	69,56;	68,45;	68,05;	67,73;	67,27;	66,92;	66,71;	63,72;	62,28;	61,91;	59,85;	59,37;	58,67;	58,1;	57,82;	56,09;	55,73;	55,36;	53,44;	52,67;	52,21;	51,95;	50,81;	49,89;	49,24;	49,01;	48,78;	48,25;	47,3;	45,1;	42,97;	41,6;	41,31;	38,78;	37,99;	36,75;	35,04;	32,61;	32,58;	30,72;	30,47;	30,05;	28,7;	27,49;	26,08;	23,65;	23,54;	22,85;	21,56;	21,08;	20,7;	20,42;	18,35;	16,47;	14,78;	14,29;	13,36;	11,66
6;	5;	3;	1,0;	nan;	nan;	nan;	nan;	nan;	100,0;	99,35;	98,95;	98,06;	97,4;	96,0;	95,91;	94,55;	93,65;	92,67;	92,12;	91,76;	91,46;	91,44;	90,8;	90,27;	90,17;	89,58;	89,47;	88,98;	88,19;	86,9;	85,75;	85,06;	83,32;	82,04;	77,87;	77,41;	76,98;	75,57;	73,15;	71,35;	71,28;	70,56;	70,08;	67,57;	67,19;	65,32;	64,15;	62,99;	62,96;	62,17;	61,31;	59,45;	59,11;	58,12;	57,22;	55,84;	54,95;	52,04;	50,92;	50,55;	49,06;	48,4;	47,53;	46,88;	45,17;	41,16;	40,01;	39,65;	38,91;	38,34;	36,17;	35,2;	34,17;	33,02;	30,8;	29,59;	27,77;	26,77;	25,59;	25,32;	22,31;	21,27;	20,62;	18,44;	16,56;	16,11;	16,01;	15,33;	12,67;	12,12;	9,97;	9,24;	7,03;	5,77;	5,12;	4,31;	4,24;	2,96;	1,89;	0,32;	0,03;	0,0;	0,0;	0,0
7;	-3;	3;	1,07;	94,97;	94,95;	93,12;	92,45;	89,66;	89,04;	88,46;	87,8;	86,24;	83,83;	82,98;	81,61;	80,66;	79,37;	76,96;	75,53;	74,52;	71,98;	68,73;	67,33;	64,09;	63,58;	60,67;	60,64;	59,73;	58,72;	58,47;	57,71;	55,19;	54,58;	54,53;	54,52;	53,63;	52,1;	49,17;	47,67;	46,14;	43,8;	43,21;	41,97;	37,5;	36,81;	36,02;	34,78;	32,79;	29,83;	28,58;	28,15;	26,67;	24,89;	22,66;	21,68;	19,56;	19,11;	17,47;	16,6;	15,07;	14,56;	11,09;	9,54;	7,88;	6,61;	6,53;	5,27;	5,04;	3,6;	2,51;	1,66;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
8;	16;	3;	0,95;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,27;	98,02;	96,98;	96,76;	94,73;	91,87;	89,62;	88,77;	87,37;	84,67;	79,94;	79,9;	78,42;	77,89;	77,18;	75,88;	75,54;	74,02;	73,44;	73,4;	72,02;	71,18;	69,63;	68,83;	66,89;	66,5;	66,14;	65,81;	64,35;	63,13;	61,23;	61,08;	59,49;	57,05;	54,14;	53,11;	52,15;	49,99;	47,76;	47,26;	46,03;	45,2;	43,57;	43,52;	43,17;	42,93;	41,12;	40,26;	39,73;	37,55;	35,09;	34,51;	33,2;	30,37;	28,44;	28,1;	27,93;	27,47;	25,66;	24,83;	22,37;	20,24;	17,76;	15,62;	15,61;	14,33;	12,77;	10,74;	10,59;	10,17;	10,03;	9,54;	5,43;	3,55;	2,77;	1,32;	0,09;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
9;	-3;	3;	0,9;	97,89;	97,53;	96,29;	96,08;	95,06;	94,67;	94,67;	93,89;	92,95;	92,1;	91,39;	91,21;	90,88;	89,72;	88,54;	87,98;	87,44;	87,16;	86,3;	85,27;	82,49;	80,43;	79,39;	78,67;	78,43;	78,37;	77,76;	76,08;	74,42;	73,98;	73,96;	69,86;	69,18;	68,18;	66,44;	66,19;	63,69;	63,31;	63,21;	62,51;	60,9;	60,15;	58,72;	58,72;	58,4;	56,49;	53,61;	51,23;	48,74;	47,75;	46,11;	44,15;	42,91;	41,98;	40,59;	39,64;	36,97;	36,15;	34,8;	34,04;	33,3;	33,1;	32,66;	31,71;	30,28;	29,79;	27,86;	26,33;	24,89;	22,9;	22,2;	21,86;	20,84;	20,71;	19,21;	17,75;	17,13;	12,36;	11,6;	10,37;	8,6;	6,14;	5,1;	3,99;	1,9;	1,58;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
10;	12;	3;	0,7;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,4;	98,6;	97,85;	97,14;	96,96;	95,19;	95,19;	94,86;	93,26;	92,98;	92,8;	91,93;	91,42;	91,39;	91,27;	91,13;	89,81;	89,77;	89,24;	87,1;	86,07;	85,09;	84,46;	83,82;	83,14;	82,17;	81,23;	81,19;	81,03;	80,53;	79,46;	78,63;	77,61;	76,54;	75,93;	74,37;	74,18;	73,23;	73,02;	72,87;	72,77;	71,52;	70,85;	69,92;	66,93;	66,14;	65,41;	65,09;	64,71;	63,36;	63,19;	61,37;	61,15;	59,05;	58,54;	58,0;	56,88;	56,77;	55,65;	54,81;	54,74;	54,04;	53,31;	53,01;	51,99;	51,51;	51,06;	50,49;	49,38;	48,49;	47,37;	45,78;	44,91;	44,89;	43,74;	42,79;	41,53;	41,39;	39,73;	37,62;	35,41;	34,54;	34,46;	34,22;	32,32;	32,31;	31,51;	31,26
