0;	1;	3;	0,97;	nan;	100,0;	99,47;	99,24;	97,81;	96,0;	93,8;	92,72;	90,94;	89,36;	88,48;	88,3;	88,09;	87,75;	86,9;	86,67;	85,79;	85,26;	83,65;	81,02;	80,13;	80,11;	77,51;	75,99;	74,95;	72,63;	71,3;	70,99;	69,57;	69,26;	67,93;	65,35;	65,27;	64,31;	62,44;	62,43;	61,25;	60,93;	60,1;	59,88;	59,24;	58,87;	56,09;	56,01;	55,47;	55,25;	55,05;	54,97;	54,74;	52,97;	51,86;	50,61;	49,31;	46,94;	45,54;	44,84;	44,01;	43,56;	43,27;	42,14;	41,67;	40,57;	40,37;	37,57;	36,5;	34,07;	33,79;	33,69;	31,99;	30,21;	29,88;	27,34;	25,28;	24,93;	24,38;	20,44;	19,74;	19,63;	19,11;	16,88;	14,33;	13,8;	12,95;	12,76;	12,75;	11,78;	10,06;	9,2;	7,81;	7,12;	6,52;	4,5;	4,45;	3,38;	3,06;	2,85;	2,31;	2,0;	0,99;	0,0;	0,0
1;	-22;	3;	0,94;	78,54;	75,72;	74,64;	73,09;	72,52;	71,2;	71,14;	70,6;	70,13;	69,17;	69,14;	67,86;	65,96;	64,85;	64,19;	62,47;	62,0;	61,04;	60,77;	60,63;	60,0;	59,9;	59,77;	59,27;	58,08;	56,74;	55,91;	54,91;	54,09;	52,82;	52,68;	52,61;	52,21;	51,35;	49,82;	46,57;	46,46;	44,69;	44,43;	43,2;	41,98;	41,67;	41,53;	39,78;	39,35;	38,22;	37,34;	35,84;	32,1;	30,01;	29,65;	29,34;	27,52;	26,47;	26,12;	24,85;	24,4;	22,64;	20,71;	19,28;	16,31;	15,42;	12,37;	11,04;	11,03;	10,12;	8,09;	7,56;	7,2;	6,18;	5,92;	5,51;	1,72;	0,74;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
2;	28;	3;	0,96;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,83;	97,19;	94,77;	94,39;	94,34;	92,96;	91,41;	88,24;	87,49;	86,67;	86,18;	85,7;	84,73;	84,02;	83,97;	83,69;	81,22;	79,64;	78,28;	77,38;	76,16;	75,17;	74,46;	71,65;	70,89;	69,33;	69,2;	68,77;	67,54;	67,28;	65,34;	64,71;	64,64;	63,74;	62,1;	61,87;	58,63;	57,51;	57,15;	54,93;	53,02;	51,94;	51,78;	51,09;	50,95;	50,22;	49,3;	48,74;	48,59;	47,85;	46,98;	45,48;	44,69;	42,07;	39,55;	37,15;	35,85;	35,05;	33,96;	32,29;	31,71;	30,36;	25,53;	25,08;	24,88;	23,26;	21,46;	19,64;	19,03;	18,63;	16,63;	16,01
3;	12;	3;	0,96;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,77;	99,07;	98,77;	98,45;	97,72;	96,52;	95,56;	94,29;	93,54;	92,72;	92,32;	91,64;	90,43;	90,41;	88,82;	87,38;	85,95;	85,21;	84,85;	81,63;	80,07;	75,83;	73,32;	71,13;	70,51;	68,53;	68,4;	66,79;	66,76;	65,69;	65,35;	63,91;	63,53;	62,63;	58,69;	58,09;	55,52;	55,29;	53,9;	53,09;	52,96;	52,87;	52,49;	52,04;	50,38;	49,88;	49,45;	47,65;	44,17;	43,14;	42,19;	42,0;	41,54;	41,03;	40,97;	39,7;	37,99;	35,68;	34,15;	33,67;	32,45;	31,87;	30,68;	29,2;	26,71;	23,72;	19,83;	17,39;	17,35;	16,32;	15,2;	15,11;	14,36;	13,54;	11,27;	11,07;	10,2;	10,07;	9,04;	7,34;	7,18;	7,0;	6,31;	4,53;	3,5;	2,47;	0,87;	0,11
4;	10;	3;	1,05;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	98,74;	97,34;	96,99;	95,71;	94,68;	93,35;	92,16;	91,36;	90,65;	90,52;	88,45;	87,51;	87,0;	83,0;	81,82;	81,71;	81,66;	80,62;	80,02;	76,2;	73,36;	69,79;	67,64;	67,33;	67,0;	66,89;	66,49;	66,46;	63,84;	62,35;	60,44;	59,15;	55,96;	55,49;	54,2;	53,32;	51,79;	51,19;	50,61;	50,28;	50,01;	49,42;	49,12;	48,87;	47,14;	46,41;	46,36;	45,81;	45,76;	43,6;	43,09;	42,89;	41,3;	41,2;	39,09;	36,53;	35,28;	35,24;	35,02;	34,96;	34,27;	33,1;	32,14;	32,11;	31,88;	28,67;	24,29;	20,66;	18,7;	16,48;	15,99;	13,85;	11,35;	10,33;	8,78;	6,8;	6,23;	5,32;	3,66;	2,86;	1,22;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
5;	-8;	3;	0,99;	90,93;	89,51;	88,56;	88,33;	87,3;	85,06;	84,33;	81,71;	81,63;	79,09;	78,74;	78,65;	76,88;	76,2;	75,6;	73,26;	73,08;	72,49;	70,07;	66,95;	65,32;	64,28;	62,88;	62,17;	61,05;	60,71;	60,63;	60,56;	60,45;	58,95;	56,21;	56,07;	53,94;	53,0;	51,39;	51,13;	49,89;	49,07;	47,78;	46,28;	46,1;	45,76;	45,35;	44,86;	43,13;	42,93;	42,6;	40,25;	39,46;	38,86;	38,49;	38,13;	37,19;	36,15;	35,99;	35,7;	35,13;	33,96;	33,01;	31,88;	31,02;	29,88;	28,74;	28,29;	27,62;	26,87;	26,47;	26,12;	25,04;	23,68;	21,83;	21,14;	19,89;	17,29;	14,66;	13,11;	12,46;	12,42;	12,37;	12,31;	10,42;	9,87;	8,47;	7,66;	6,53;	5,23;	4,15;	3,25;	2,8;	0,48;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
6;	9;	3;	1,06;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	98,8;	97,82;	96,56;	95,59;	92,49;	90,9;	90,37;	89,94;	88,07;	87,68;	84,56;	82,74;	82,14;	81,03;	80,13;	79,93;	78,68;	75,59;	75,03;	74,66;	72,95;	72,04;	72,01;	71,36;	67,1;	65,32;	63,11;	61,75;	59,97;	57,35;	56,86;	56,57;	56,55;	55,29;	52,94;	51,77;	50,03;	48,95;	48,85;	48,52;	48,34;	47,87;	46,31;	46,02;	45,15;	44,84;	43,84;	41,21;	40,51;	39,75;	38,19;	36,64;	36,59;	33,87;	33,16;	32,53;	30,63;	29,11;	26,17;	25,94;	25,81;	25,21;	22,8;	21,71;	21,18;	19,5;	15,67;	13,21;	10,99;	10,23;	8,95;	5,7;	4,95;	4,19;	3,09;	0,71;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
7;	16;	3;	1,06;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,43;	98,03;	93,35;	92,8;	91,71;	91,61;	88,11;	86,95;	85,48;	84,66;	83,97;	82,5;	80,15;	79,31;	78,81;	78,72;	77,31;	76,65;	76,05;	73,44;	72,57;	71,32;	69,5;	69,15;	67,5;	63,59;	63,3;	61,42;	60,33;	58,14;	55,44;	54,85;	54,85;	53,16;	51,56;	50,28;	49,57;	49,56;	48,58;	48,11;	47,32;	46,7;	45,36;	45,15;	45,0;	44,94;	44,2;	42,29;	42,09;	40,72;	40,49;	40,05;	38,05;	36,36;	35,15;	34,34;	32,81;	32,16;	28,62;	28,08;	27,58;	24,61;	23,72;	22,58;	20,95;	20,43;	19,82;	18,39;	15,25;	12,33;	10,52;	9,8;	4,79;	2,7;	1,69;	0,38;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
8;	8;	3;	0,93;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	98,28;	97,25;	96,33;	94,16;	93,91;	92,69;	90,17;	89,85;	88,73;	87,81;	87,55;	85,01;	85,0;	83,94;	83,47;	82,7;	82,43;	81,72;	80,19;	79,94;	79,74;	79,57;	78,77;	78,09;	75,57;	73,76;	73,02;	71,59;	68,65;	66,06;	65,39;	64,25;	63,27;	61,74;	61,06;	58,47;	58,46;	56,47;	53,9;	52,98;	51,37;	49,76;	48,62;	48,18;	47,81;	46,85;	45,34;	44,75;	43,77;	41,61;	39,99;	39,2;	39,19;	39,17;	38,65;	38,44;	37,67;	37,53;	35,78;	33,82;	33,48;	33,46;	31,5;	30,09;	28,7;	27,93;	27,46;	27,13;	25,5;	22,99;	22,29;	20,98;	20,05;	19,3;	17,11;	14,76;	14,33;	13,84;	12,48;	11,15;	9,45;	7,14;	5,72;	4,29;	3,04;	2,31;	0,83;	0,66;	0,55;	0,0;	0,0;	0,0
9;	8;	3;	0,99;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,27;	98,34;	97,77;	96,8;	93,51;	92,74;	91,85;	90,61;	89,42;	87,04;	86,53;	85,15;	84,32;	81,48;	79,44;	76,76;	76,28;	73,63;	73,31;	70,83;	70,21;	67,05;	66,38;	64,05;	63,93;	61,55;	60,37;	59,84;	59,17;	58,09;	57,03;	56,36;	55,42;	54,78;	53,34;	53,23;	52,99;	52,44;	52,44;	51,14;	49,45;	49,12;	48,66;	48,32;	47,91;	47,34;	47,26;	45,02;	44,1;	42,85;	41,32;	41,22;	40,48;	39,38;	39,08;	37,69;	37,04;	36,71;	36,29;	35,34;	34,73;	34,51;	34,27;	34,07;	33,89;	33,07;	32,77;	31,35;	30,49;	27,95;	27,78;	27,24;	25,03;	22,93;	21,64;	19,83;	19,76;	18,68;	17,88;	16,62;	13,71;	13,62;	12,86;	11,39;	10,51;	8,01;	5,57;	3,63;	3,05;	2,89;	2,82;	1,05
