0;	8;	6;	0,68;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,7;	98,84;	98,47;	98,4;	98,1;	97,53;	96,87;	95,91;	94,94;	94,67;	93,81;	93,4;	91,13;	90,11;	89,16;	88,01;	84,3;	83,09;	80,35;	79,06;	77,92;	77,33;	76,69;	74,75;	73,52;	73,01;	69,78;	68,58;	68,18;	65,82;	65,4;	62,34;	61,82;	58,99;	56,4;	54,58;	49,78;	48,45;	46,67;	43,08;	40,83;	38,14;	36,56;	35,61;	33,48;	28,13;	23,76;	22,43;	22,28;	21,75;	20,04;	19,17;	18,36;	13,45;	11,37;	5,2;	4,02;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
1;	8;	6;	1,02;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,55;	99,03;	98,81;	98,34;	97,45;	96,1;	95,75;	94,65;	92,73;	90,75;	90,47;	84,4;	81,76;	80,91;	78,4;	75,26;	71,47;	70,25;	70,09;	69,88;	67,13;	61,57;	61,52;	60,5;	57,24;	56,05;	51,25;	46,76;	43,4;	42,03;	41,91;	38,63;	38,5;	33,59;	25,12;	19,61;	13,13;	13,08;	11,91;	7,07;	1,7;	1,58;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
2;	12;	6;	1,22;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,74;	99,62;	99,06;	98,18;	96,49;	96,32;	92,31;	91,91;	91,72;	90,62;	88,17;	87,58;	87,01;	86,31;	83,91;	82,96;	78,78;	75,0;	73,91;	68,82;	66,83;	65,72;	65,44;	61,41;	56,46;	55,35;	45,94;	38,76;	34,82;	28,0;	25,71;	22,61;	20,61;	16,5;	13,64;	9,46;	2,02;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
3;	1;	6;	1,04;	nan;	100,0;	99,85;	99,83;	98,9;	97,62;	97,49;	95,72;	95,43;	95,42;	93,57;	92,28;	91,53;	88,09;	81,52;	79,19;	77,62;	76,15;	71,92;	69,38;	68,04;	65,86;	63,89;	62,08;	61,19;	58,54;	57,65;	49,64;	46,5;	46,44;	38,27;	36,67;	35,64;	27,96;	22,55;	18,63;	16,11;	14,16;	14,13;	7,73;	4,25;	3,94;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
4;	13;	6;	0,75;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,76;	99,19;	98,64;	97,54;	96,71;	96,64;	95,03;	94,4;	93,77;	93,1;	91,43;	90,58;	87,42;	86,09;	85,06;	82,51;	80,89;	79,75;	75,13;	74,4;	73,2;	70,96;	70,24;	68,13;	64,77;	64,66;	62,41;	61,36;	57,84;	57,45;	55,3;	54,79;	54,11;	50,78;	44,49;	43,09;	42,23;	39,5;	38,63;	31,16;	25,74;	24,58;	24,16;	21,52;	18,04;	16,84;	16,26;	15,13;	10,63;	9,57;	8,02;	5,89;	4,42;	3,61;	1,61;	1,14;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
5;	-1;	6;	0,91;	99,93;	99,66;	98,9;	97,85;	97,41;	97,0;	96,02;	94,05;	92,83;	91,87;	91,06;	88,64;	85,91;	84,57;	83,61;	78,17;	75,69;	73,76;	65,47;	61,65;	59,24;	55,48;	54,08;	48,9;	43,87;	40,6;	40,54;	37,33;	34,48;	32,15;	31,71;	29,69;	24,1;	21,81;	18,93;	17,77;	15,95;	15,29;	14,55;	12,94;	8,74;	3,48;	2,6;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
6;	-11;	6;	1,11;	86,06;	81,9;	80,42;	77,7;	74,42;	71,89;	70,16;	68,91;	67,0;	65,97;	65,44;	61,14;	57,3;	51,95;	47,65;	42,12;	38,69;	38,41;	35,43;	33,97;	28,3;	24,82;	20,06;	17,8;	15,3;	12,09;	6,37;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
7;	5;	6;	0,75;	nan;	nan;	nan;	nan;	nan;	100,0;	99,51;	99,18;	98,59;	98,56;	97,38;	96,79;	94,6;	94,26;	94,09;	92,64;	92,37;	90,94;	90,13;	88,62;	88,25;	84,51;	80,7;	78,83;	76,67;	74,14;	73,66;	73,14;	71,87;	69,12;	68,51;	67,61;	62,55;	62,42;	61,23;	59,42;	57,56;	56,51;	54,15;	48,5;	45,85;	44,03;	42,29;	37,5;	36,88;	30,07;	25,49;	25,44;	21,05;	17,53;	11,23;	9,89;	6,66;	6,3;	1,99;	1,25;	0,84;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
8;	-2;	6;	0,95;	99,62;	98,94;	98,49;	97,73;	97,46;	97,41;	96,18;	96,03;	93,92;	93,34;	92,09;	90,61;	86,69;	86,34;	84,4;	84,0;	82,53;	78,6;	76,71;	74,61;	72,56;	70,81;	68,06;	63,88;	61,41;	59,27;	58,82;	58,27;	58,03;	50,73;	48,98;	43,75;	40,38;	33,83;	28,28;	25,83;	24,92;	19,78;	17,39;	17,22;	17,09;	13,94;	12,78;	7,61;	1,81;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
9;	18;	6;	1,2;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,6;	98,37;	97,86;	97,63;	96,35;	96,05;	95,3;	94,7;	93,19;	88,82;	84,18;	80,62;	76,54;	74,58;	68,52;	67,63;	64,93;	61,18;	57,2;	50,26;	46,19;	45,45;	39,83;	38,9;	37,39;	34,5;	23,81;	22,48;	20,39;	14,43;	11,07;	9,05;	6,07;	1,73;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
10;	-6;	6;	1,06;	96,99;	95,94;	95,86;	95,64;	92,82;	88,66;	85,39;	81,26;	78,46;	77,69;	76,86;	72,66;	70,56;	68,17;	62,79;	62,24;	61,08;	55,19;	53,2;	53,01;	51,2;	49,73;	43,04;	42,49;	37,01;	32,14;	24,86;	22,9;	21,56;	19,27;	17,62;	11,13;	10,17;	5,58;	0,06;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
