0;	16;	7;	0,97;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	76,94;	70,11;	69,98;	69,31;	66,13;	63,68;	59,63;	58,35;	54,29;	51,59;	49,36;	47,89;	41,23;	40,6;	40,27;	39,47;	39,26;	38,85;	37,03;	34,75;	34,27;	31,97;	31,08;	30,88;	30,87;	30,34;	29,71;	29,44;	28,31;	27,81;	27,2;	26,6;	26,43;	26,14;	25,65;	25,48;	24,56;	24,43;	23,88;	22,91;	22,04;	21,73;	21,4;	21,35;	20,96;	20,9;	19,84;	19,55;	19,27;	18,44;	18,22;	18,12;	17,06;	16,68;	16,25;	15,7;	15,06;	14,41;	13,83;	13,16;	12,52;	12,5;	11,96;	11,79;	11,65;	11,62;	11,58;	11,54;	11,39;	11,27;	11,08;	10,97;	10,78;	10,57;	10,5;	9,92;	9,41;	9,31;	8,66;	8,52;	8,09;	7,98;	7,95;	7,86
1;	-7;	7;	0,93;	40,23;	38,85;	32,93;	32,63;	29,11;	25,88;	25,23;	22,31;	22,03;	20,28;	18,23;	17,77;	17,35;	13,57;	12,16;	9,85;	9,12;	8,79;	8,75;	8,71;	7,18;	5,55;	5,04;	4,45;	4,05;	3,91;	3,56;	2,95;	2,37;	1,27;	1,23;	0,05;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
2;	0;	7;	1,05;	100,0;	76,4;	73,51;	58,6;	47,92;	44,04;	39,07;	36,31;	36,31;	35,7;	33,46;	30,55;	27,3;	26,75;	24,53;	24,36;	22,44;	21,95;	21,95;	20,3;	19,95;	19,26;	18,94;	16,28;	15,62;	15,51;	15,04;	14,64;	13,94;	12,2;	10,66;	10,16;	9,51;	9,06;	9,0;	8,63;	7,76;	6,56;	5,36;	4,22;	3,97;	3,25;	2,42;	1,74;	0,63;	0,41;	0,17;	0,07;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
3;	-13;	7;	0,99;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
4;	1;	7;	0,97;	nan;	100,0;	79,51;	79,05;	71,56;	70,95;	63,06;	60,4;	56,95;	55,17;	53,39;	52,79;	51,72;	51,25;	47,08;	45,95;	43,16;	41,08;	39,89;	39,58;	39,26;	38,04;	37,22;	36,74;	35,38;	34,99;	34,8;	32,98;	31,92;	31,41;	31,37;	30,77;	28,71;	27,76;	27,42;	27,11;	26,01;	25,2;	25,15;	25,03;	24,51;	23,12;	22,59;	22,59;	22,22;	22,08;	22,08;	21,48;	21,4;	21,23;	20,52;	20,39;	20,25;	19,32;	19,22;	18,39;	18,02;	17,98;	17,83;	17,68;	17,05;	16,68;	16,57;	16,04;	15,77;	15,18;	14,94;	14,84;	14,75;	14,38;	13,84;	13,7;	13,4;	13,29;	12,53;	12,48;	12,23;	12,15;	11,88;	11,7;	11,25;	11,0;	10,76;	10,7;	10,59;	10,43;	10,43;	9,79;	9,75;	9,72;	9,6;	9,0;	8,9;	8,84;	8,65;	8,34;	8,18;	8,01;	7,73;	7,66;	7,25
5;	-2;	7;	1,02;	50,73;	45,42;	41,26;	34,42;	30,11;	26,28;	26,18;	23,95;	22,53;	20,52;	18,05;	17,91;	12,88;	10,76;	9,47;	8,5;	8,43;	7,15;	5,57;	4,56;	3,86;	3,83;	2,61;	1,16;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
6;	5;	7;	0,99;	nan;	nan;	nan;	nan;	nan;	100,0;	83,79;	63,34;	60,26;	57,63;	54,7;	47,69;	46,62;	46,55;	44,99;	42,68;	36,44;	36,33;	36,09;	35,9;	34,14;	32,13;	31,29;	30,01;	29,93;	28,62;	28,26;	27,22;	27,08;	26,69;	26,54;	26,38;	24,8;	24,41;	24,13;	24,05;	24,01;	23,85;	22,59;	22,2;	21,39;	21,22;	20,33;	19,48;	19,0;	18,44;	17,67;	17,04;	16,88;	16,27;	15,23;	14,84;	14,8;	14,45;	14,06;	13,2;	13,07;	12,05;	11,99;	11,5;	11,31;	10,91;	10,22;	9,98;	9,56;	9,23;	9,14;	9,01;	8,99;	8,72;	8,39;	8,1;	7,71;	6,74;	6,33;	6,26;	6,11;	5,92;	5,74;	5,37;	5,16;	4,79;	4,62;	4,33;	4,1;	3,98;	3,75;	3,43;	2,98;	2,96;	2,88;	2,29;	1,95;	1,53;	1,12;	0,91;	0,89;	0,84;	0,81;	0,76;	0,73
7;	0;	7;	0,95;	100,0;	59,2;	52,63;	42,5;	27,81;	27,01;	25,5;	25,45;	19,86;	19,27;	14,84;	14,04;	12,39;	11,04;	8,34;	8,21;	7,75;	5,75;	4,47;	4,07;	1,4;	0,52;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
8;	-3;	7;	0,96;	79,26;	75,73;	74,03;	70,28;	70,06;	69,97;	65,37;	65,28;	64,3;	63,96;	62,76;	62,25;	61,31;	60,15;	59,73;	59,4;	58,83;	58,58;	55,08;	53,16;	52,49;	51,73;	50,14;	48,71;	48,28;	48,17;	47,61;	46,52;	46,43;	45,32;	43,56;	43,32;	42,08;	41,78;	41,29;	41,15;	40,47;	40,12;	39,95;	39,76;	38,7;	37,82;	37,41;	37,31;	36,74;	36,6;	35,8;	35,56;	35,45;	34,99;	34,56;	33,55;	32,71;	32,59;	32,2;	31,41;	30,61;	30,05;	29,28;	29,24;	29,0;	28,79;	28,66;	27,47;	27,38;	26,99;	26,89;	26,82;	26,75;	26,09;	25,7;	25,4;	25,21;	24,66;	24,61;	24,31;	23,92;	23,87;	23,8;	23,62;	23,2;	22,53;	22,52;	22,49;	22,22;	21,78;	21,77;	21,41;	21,1;	21,03;	20,82;	20,44;	20,07;	19,73;	19,11;	19,1;	19,04;	19,01;	18,83;	18,8;	18,67
9;	-5;	7;	0,98;	49,67;	42,17;	39,61;	37,99;	37,78;	34,64;	33,19;	32,09;	28,93;	28,34;	27,92;	25,38;	25,04;	24,49;	21,13;	20,77;	20,46;	19,48;	17,92;	16,26;	15,4;	15,22;	13,97;	13,55;	13,36;	11,77;	11,2;	10,77;	10,09;	9,42;	9,1;	8,84;	8,29;	7,93;	7,6;	5,89;	4,36;	3,82;	3,32;	3,0;	2,83;	2,5;	2,25;	2,08;	1,54;	1,28;	1,23;	0,86;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
10;	-5;	7;	1,01;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
