0;	5;	8;	1,09;	nan;	nan;	nan;	nan;	nan;	100,0;	99,52;	98,72;	94,35;	93,66;	92,28;	91,94;	89,7;	88,61;	87,0;	81,52;	81,38;	80,7;	77,93;	77,42;	77,01;	75,18;	74,46;	73,02;	71,72;	70,81;	69,96;	68,9;	67,07;	64,58;	64,14;	60,97;	60,9;	59,33;	59,31;	59,14;	53,95;	52,82;	52,13;	50,66;	50,37;	49,04;	48,46;	47,7;	46,02;	44,11;	43,68;	41,98;	40,11;	38,54;	36,94;	34,91;	33,89;	32,83;	30,99;	30,07;	29,02;	28,95;	28,8;	28,57;	27,86;	26,89;	25,88;	24,86;	24,5;	24,45;	22,99;	22,74;	21,51;	20,63;	20,17;	19,63;	18,91;	18,73;	17,56;	16,82;	16,19;	15,62;	14,61;	13,26;	12,11;	11,91;	11,3;	10,8;	10,0;	9,2;	8,23;	8,01;	7,78;	6,71;	6,52;	6,18;	5,82;	5,72;	5,7;	5,66;	5,5;	5,47;	5,38;	5,38;	5,36
1;	-6;	8;	1,28;	78,39;	75,53;	75,48;	70,1;	66,45;	65,18;	60,86;	59,63;	57,49;	53,85;	53,53;	52,96;	50,07;	49,02;	48,65;	48,06;	45,13;	39,18;	39,05;	37,76;	35,5;	34,19;	33,35;	30,13;	27,39;	23,51;	20,62;	19,37;	17,58;	17,28;	15,13;	14,18;	12,86;	10,68;	9,51;	8,84;	4,91;	2,61;	1,71;	0,83;	0,35;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
2;	13;	8;	0,95;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,53;	99,51;	96,81;	92,72;	91,82;	91,37;	88,17;	87,08;	86,35;	85,21;	84,07;	82,53;	77,36;	77,34;	75,51;	75,49;	73,29;	70,08;	68,56;	68,32;	67,42;	65,51;	63,26;	62,01;	61,89;	61,3;	59,83;	59,17;	58,64;	57,56;	57,2;	55,82;	55,52;	53,77;	49,09;	47,37;	46,73;	45,76;	45,75;	45,16;	45,01;	44,42;	43,92;	43,34;	42,8;	41,76;	39,29;	37,78;	36,65;	36,1;	35,74;	33,95;	33,77;	33,27;	31,67;	31,54;	30,02;	27,65;	26,6;	25,3;	24,76;	22,95;	22,79;	22,5;	21,4;	21,32;	20,0;	19,09;	19,01;	18,71;	17,49;	16,65;	16,19;	15,87;	15,22;	15,06;	14,89;	14,49;	13,79;	13,68;	13,55;	13,3;	13,19;	12,83;	12,72;	12,57;	12,53
3;	0;	8;	1,2;	100,0;	99,08;	97,1;	96,83;	95,22;	91,08;	89,98;	89,61;	86,41;	83,95;	83,29;	82,78;	79,55;	75,4;	73,73;	73,23;	71,56;	71,04;	69,53;	69,16;	66,26;	64,11;	59,85;	57,39;	57,34;	56,7;	56,6;	51,52;	49,21;	47,9;	45,77;	43,3;	41,22;	41,16;	39,99;	33,8;	32,55;	31,87;	31,73;	30,75;	29,82;	28,51;	27,96;	25,79;	25,19;	21,24;	20,84;	19,85;	19,62;	16,75;	16,28;	15,93;	15,3;	13,38;	11,44;	9,2;	7,42;	4,19;	2,47;	0,71;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
4;	-7;	8;	1,2;	88,76;	84,91;	80,57;	77,69;	73,76;	72,96;	72,85;	68,57;	66,02;	62,99;	59,94;	59,84;	57,51;	55,4;	54,52;	52,96;	51,84;	50,54;	50,01;	47,59;	46,82;	45,96;	44,4;	44,09;	43,59;	40,77;	39,46;	37,48;	35,11;	33,57;	32,89;	30,8;	28,83;	28,66;	27,65;	27,25;	26,94;	25,5;	24,39;	21,77;	21,49;	19,81;	17,44;	15,78;	15,25;	14,36;	13,37;	13,11;	12,73;	11,92;	10,61;	9,54;	9,32;	8,45;	8,26;	7,82;	6,95;	6,84;	5,53;	5,12;	4,11;	4,04;	3,88;	3,14;	2,55;	2,02;	1,04;	0,42;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
5;	12;	8;	0,98;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	96,74;	96,68;	96,38;	94,65;	94,32;	90,72;	89,17;	85,88;	83,73;	83,22;	82,0;	80,1;	76,84;	75,62;	70,65;	70,4;	70,14;	68,82;	68,59;	64,75;	63,87;	61,12;	58,68;	58,01;	56,61;	55,74;	55,47;	54,28;	54,26;	52,43;	50,92;	50,68;	47,31;	46,77;	45,28;	45,23;	42,6;	42,38;	42,36;	39,26;	36,69;	35,69;	35,49;	34,52;	34,03;	32,39;	30,8;	28,53;	27,59;	26,13;	25,41;	24,58;	24,07;	22,87;	20,75;	20,2;	19,56;	18,39;	17,11;	17,09;	15,99;	15,96;	15,82;	15,03;	14,49;	13,87;	13,57;	13,1;	12,28;	12,13;	11,68;	11,46;	11,3;	10,74;	9,8;	9,5;	9,28;	8,38;	8,19;	7,9;	7,17;	6,8;	6,23;	6,06;	5,95;	5,93;	5,91;	5,82
6;	-10;	8;	0,83;	83,26;	82,85;	80,59;	80,34;	79,99;	78,61;	78,41;	77,74;	74,38;	73,5;	71,14;	70,65;	69,44;	64,86;	64,54;	63,92;	63,78;	62,47;	61,1;	60,88;	59,78;	58,44;	57,11;	56,78;	55,99;	55,34;	54,61;	54,52;	53,96;	51,51;	50,47;	48,96;	48,85;	47,95;	47,22;	46,81;	46,19;	45,6;	44,13;	43,5;	42,6;	41,95;	41,58;	40,1;	39,93;	39,17;	38,72;	38,05;	37,97;	37,78;	37,28;	36,17;	35,51;	35,48;	35,46;	35,38;	34,39;	33,5;	33,06;	32,01;	31,12;	30,78;	30,44;	30,06;	29,68;	29,65;	29,48;	29,16;	28,94;	28,93;	28,44;	28,43;	28,26;	27,96;	27,89;	27,07;	26,6;	26,58;	26,29;	26,23;	26,16;	26,13;	25,95;	25,94;	25,9;	25,62;	25,61;	25,6;	25,53;	25,5;	25,5;	25,5;	25,5;	25,5;	25,5;	25,5;	25,5;	25,5;	25,5;	25,5;	25,5
7;	3;	8;	0,93;	nan;	nan;	nan;	100,0;	97,97;	96,61;	95,21;	94,45;	92,0;	89,84;	89,81;	89,57;	87,97;	87,47;	87,11;	83,77;	79,81;	78,3;	76,75;	72,23;	70,93;	70,3;	65,36;	65,21;	62,68;	62,61;	61,0;	59,89;	58,81;	58,1;	56,6;	54,32;	54,21;	53,77;	51,89;	49,96;	49,01;	47,95;	46,9;	46,27;	43,63;	43,31;	42,08;	38,87;	37,11;	35,88;	35,36;	34,52;	34,25;	33,83;	32,18;	31,3;	31,3;	30,69;	29,29;	28,25;	28,22;	26,48;	26,06;	25,53;	23,55;	23,54;	23,02;	22,93;	21,2;	20,39;	20,33;	19,97;	18,93;	18,7;	17,61;	16,56;	15,76;	14,99;	14,4;	13,96;	13,87;	13,25;	12,57;	11,94;	11,76;	11,36;	10,88;	10,83;	9,88;	9,74;	9,55;	9,51;	9,44;	9,38;	9,19;	9,16;	8,85;	8,85;	8,55;	8,47;	8,38;	8,31;	8,24;	8,18;	8,14
8;	24;	8;	1,04;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,43;	96,99;	93,12;	90,51;	89,09;	88,52;	87,44;	85,83;	85,49;	82,2;	80,03;	76,0;	73,58;	71,08;	68,87;	66,06;	63,48;	61,41;	57,02;	56,73;	54,83;	53,66;	50,95;	49,59;	49,49;	47,97;	46,78;	45,4;	44,16;	41,66;	41,65;	39,58;	39,24;	38,88;	37,57;	36,48;	34,47;	33,33;	31,3;	30,32;	29,74;	28,59;	27,03;	26,98;	25,66;	24,22;	23,98;	23,7;	23,25;	21,64;	21,03;	20,51;	20,07;	19,9;	19,48;	17,9;	16,86;	16,63;	15,02;	14,43;	13,85;	12,31;	11,8;	11,18;	9,67;	9,57;	9,27;	8,29;	8,26;	7,54;	6,98;	6,81;	6,8;	6,51;	5,63;	5,11
9;	-1;	8;	1,03;	99,09;	94,64;	94,55;	94,01;	91,26;	90,89;	87,47;	85,38;	80,08;	77,57;	72,51;	72,06;	71,71;	68,82;	67,6;	65,98;	65,19;	62,42;	62,12;	61,56;	58,75;	57,21;	55,62;	55,37;	55,14;	54,06;	51,28;	47,42;	45,14;	44,59;	44,01;	43,99;	43,21;	42,45;	37,55;	37,06;	35,21;	34,3;	33,99;	31,76;	28,04;	26,77;	26,36;	24,42;	22,39;	19,57;	19,53;	17,11;	14,14;	14,11;	13,73;	12,65;	11,76;	11,45;	9,45;	8,36;	6,19;	4,75;	3,77;	3,11;	2,24;	1,61;	1,22;	0,05;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
