0;	-2;	9;	1,17;	90,3;	87,1;	75,53;	64,11;	62,23;	54,94;	54,92;	52,68;	50,7;	47,74;	46,36;	45,75;	44,41;	41,73;	41,16;	39,18;	37,82;	36,67;	35,41;	34,56;	32,76;	31,15;	27,82;	26,24;	25,01;	24,07;	22,7;	22,11;	20,56;	19,68;	18,05;	17,21;	15,44;	14,59;	13,9;	13,24;	11,77;	11,69;	11,37;	10,04;	9,52;	8,98;	8,14;	7,94;	6,99;	6,8;	6,41;	5,34;	5,01;	4,76;	4,41;	4,39;	3,96;	3,64;	3,31;	2,78;	2,15;	2,09;	1,95;	1,63;	1,36;	1,1;	0,89;	0,61;	0,23;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
1;	11;	9;	1,08;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	98,49;	96,17;	93,67;	85,33;	77,37;	69,84;	65,92;	65,06;	61,57;	57,96;	54,6;	49,47;	47,75;	46,08;	44,12;	42,63;	41,41;	38,78;	38,41;	35,87;	34,37;	31,53;	30,57;	30,35;	28,07;	27,15;	26,2;	25,58;	24,18;	22,66;	21,87;	21,53;	20,27;	20,12;	18,98;	18,04;	17,12;	16,96;	15,99;	15,83;	14,58;	12,99;	12,58;	11,64;	11,26;	10,21;	10,07;	9,53;	8,93;	8,68;	8,14;	7,71;	7,32;	7,31;	6,86;	6,69;	6,36;	6,27;	6,24;	6,23;	5,91;	5,83;	5,53;	5,35;	5,08;	5,06;	4,99;	4,59;	4,49;	4,34;	4,28;	4,27;	4,01;	3,78;	3,69;	3,51;	3,43;	3,25;	3,2;	3,1;	3,08;	2,86;	2,83;	2,68;	2,62;	2,56;	2,44;	2,4;	2,38
2;	-13;	9;	0,89;	61,2;	60,64;	56,75;	55,59;	54,58;	54,58;	53,25;	51,41;	50,61;	50,46;	47,97;	45,03;	43,48;	42,69;	42,48;	41,72;	40,1;	40,04;	39,81;	38,83;	37,12;	36,73;	35,28;	34,31;	34,11;	34,04;	33,63;	33,11;	32,95;	32,2;	31,37;	31,37;	30,76;	30,65;	29,65;	29,05;	28,93;	28,7;	28,47;	28,3;	28,26;	28,16;	28,08;	28,06;	27,72;	27,48;	27,1;	27,06;	27,01;	26,88;	26,85;	26,54;	26,3;	26,16;	26,16;	26,09;	25,95;	25,92;	25,9;	25,76;	25,62;	25,55;	25,38;	25,25;	25,07;	24,97;	24,83;	24,82;	24,72;	24,62;	24,54;	24,54;	24,48;	24,47;	24,35;	24,32;	24,26;	24,16;	24,11;	24,07;	24,04;	24,02;	23,96;	23,9;	23,86;	23,85;	23,84;	23,83;	23,82;	23,75;	23,72;	23,69;	23,68;	23,66;	23,65;	23,65;	23,6;	23,59;	23,58;	23,57;	23,55
3;	-16;	9;	1,02;	63,96;	63,82;	60,58;	60,09;	56,43;	55,06;	54,76;	54,03;	53,39;	50,46;	49,69;	48,8;	47,66;	44,93;	44,34;	43,81;	43,07;	41,08;	40,56;	40,49;	40,06;	39,62;	39,33;	38,53;	37,47;	37,07;	36,99;	36,96;	34,81;	33,64;	33,15;	32,61;	32,51;	32,09;	32,05;	32,02;	31,9;	31,49;	30,97;	30,81;	30,64;	30,44;	29,73;	29,72;	29,03;	29,01;	28,83;	28,56;	28,5;	28,46;	28,19;	28,13;	28,01;	27,62;	27,46;	27,36;	27,3;	27,23;	27,22;	27,21;	27,2;	27,14;	27,08;	27,04;	26,98;	26,9;	26,85;	26,82;	26,79;	26,79;	26,73;	26,7;	26,61;	26,61;	26,57;	26,52;	26,51;	26,47;	26,44;	26,36;	26,35;	26,29;	26,28;	26,25;	26,12;	26,03;	26,0;	26,0;	25,96;	25,96;	25,95;	25,93;	25,92;	25,92;	25,91;	25,9;	25,9;	25,88;	25,86;	25,84;	25,84
4;	1;	9;	0,8;	nan;	100,0;	99,84;	98,7;	98,62;	97,04;	95,73;	93,92;	91,65;	88,43;	86,93;	86,33;	85,12;	84,65;	82,53;	81,99;	77,24;	76,8;	76,4;	75,57;	75,55;	75,39;	72,37;	71,8;	69,78;	68,69;	68,23;	66,4;	66,07;	65,97;	65,14;	65,03;	64,51;	63,32;	62,97;	62,38;	62,33;	61,9;	61,88;	61,15;	60,75;	60,66;	60,57;	59,99;	59,47;	59,0;	58,32;	57,94;	57,73;	57,56;	57,33;	56,92;	56,8;	56,27;	55,95;	55,81;	55,76;	55,61;	55,57;	55,13;	55,06;	54,92;	54,89;	54,78;	54,6;	54,59;	54,57;	54,57;	54,35;	54,14;	53,87;	53,65;	53,62;	53,4;	53,31;	53,31;	53,31;	53,25;	53,15;	53,07;	53,02;	52,91;	52,83;	52,82;	52,75;	52,71;	52,64;	52,61;	52,59;	52,58;	52,55;	52,49;	52,45;	52,44;	52,42;	52,42;	52,4;	52,37;	52,3;	52,29;	52,26
5;	0;	9;	0,92;	100,0;	99,71;	98,72;	88,79;	88,62;	85,73;	84,87;	75,58;	69,72;	68,42;	64,27;	60,13;	57,04;	54,47;	52,4;	47,48;	45,4;	44,65;	43,73;	42,27;	40,52;	38,94;	38,91;	36,73;	36,56;	33,5;	30,64;	29,32;	27,87;	27,23;	26,66;	25,68;	25,01;	23,65;	23,1;	23,04;	22,97;	22,89;	21,64;	21,56;	21,17;	20,35;	19,72;	19,72;	19,4;	19,19;	18,65;	18,54;	18,32;	18,1;	17,92;	17,73;	17,66;	16,99;	16,89;	16,71;	16,36;	16,13;	15,88;	15,84;	15,66;	15,4;	15,25;	15,2;	15,07;	15,06;	14,79;	14,57;	14,56;	14,49;	14,31;	14,05;	13,94;	13,92;	13,78;	13,75;	13,71;	13,69;	13,61;	13,61;	13,5;	13,37;	13,25;	13,23;	13,11;	13,05;	13,02;	12,95;	12,9;	12,89;	12,82;	12,76;	12,74;	12,63;	12,57;	12,55;	12,53;	12,5;	12,37;	12,36;	12,36
6;	5;	9;	1,06;	nan;	nan;	nan;	nan;	nan;	100,0;	93,14;	88,12;	78,28;	77,65;	77,44;	71,3;	70,09;	67,56;	62,11;	59,78;	58,55;	56,05;	53,56;	49,06;	44,9;	42,66;	40,78;	40,28;	40,11;	38,15;	37,26;	33,62;	33,59;	30,75;	28,6;	28,03;	26,25;	24,26;	24,09;	22,7;	21,31;	19,16;	18,84;	16,63;	14,57;	13,44;	12,16;	10,73;	9,99;	9,87;	9,67;	9,42;	9,29;	8,61;	7,7;	6,28;	5,7;	5,27;	5,03;	4,91;	4,39;	3,57;	3,5;	2,96;	2,7;	1,67;	1,42;	1,04;	0,87;	0,83;	0,49;	0,18;	0,18;	0,14;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
7;	9;	9;	0,98;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	94,03;	87,27;	82,94;	78,44;	73,83;	71,87;	69,36;	65,87;	65,18;	64,12;	61,73;	59,64;	57,38;	55,58;	54,19;	51,86;	51,36;	51,02;	50,62;	48,93;	45,99;	45,47;	41,16;	40,42;	39,21;	38,45;	37,88;	36,59;	35,47;	34,07;	33,79;	33,49;	32,08;	31,39;	31,1;	29,95;	28,63;	28,15;	27,35;	26,7;	25,97;	25,26;	24,78;	23,63;	23,23;	22,77;	22,32;	21,97;	21,23;	20,96;	20,61;	20,0;	19,7;	19,19;	18,8;	18,54;	18,5;	18,2;	18,08;	18,01;	17,95;	17,89;	17,56;	17,35;	16,98;	16,59;	16,48;	16,45;	16,21;	16,12;	15,91;	15,82;	15,57;	15,41;	15,38;	15,37;	15,23;	15,13;	15,01;	15,0;	14,88;	14,67;	14,45;	14,29;	14,22;	14,13;	14,02;	13,92;	13,85;	13,82;	13,68
8;	2;	9;	1,15;	nan;	nan;	100,0;	95,43;	82,83;	79,56;	77,69;	73,11;	69,47;	64,43;	57,54;	57,27;	56,67;	55,43;	51,69;	46,38;	43,56;	43,55;	43,03;	42,85;	38,63;	37,32;	36,66;	35,13;	34,41;	34,26;	34,05;	32,88;	31,75;	31,6;	30,01;	29,81;	28,98;	28,91;	27,12;	24,67;	23,33;	23,3;	22,97;	21,85;	20,8;	20,68;	19,18;	19,14;	18,33;	17,61;	17,23;	16,87;	16,86;	16,14;	16,07;	14,86;	14,41;	14,15;	14,06;	13,97;	13,56;	13,55;	12,92;	12,87;	12,81;	12,52;	12,49;	12,07;	11,97;	11,83;	11,62;	11,59;	11,57;	11,32;	10,9;	10,65;	10,62;	10,5;	10,34;	10,06;	9,97;	9,95;	9,8;	9,64;	9,61;	9,53;	9,42;	9,37;	9,36;	9,29;	9,16;	9,14;	9,03;	8,9;	8,82;	8,79;	8,78;	8,7;	8,56;	8,54;	8,47;	8,4;	8,38;	8,38;	8,37
9;	12;	9;	0,93;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	97,21;	96,4;	93,88;	91,55;	88,18;	85,41;	84,64;	78,01;	69,91;	65,47;	64,28;	63,76;	62,56;	60,39;	59,36;	57,64;	57,23;	53,79;	51,7;	50,0;	50,0;	49,75;	49,69;	48,59;	47,3;	45,64;	44,88;	43,91;	43,0;	41,41;	40,94;	39,29;	38,93;	38,16;	37,66;	37,63;	36,42;	36,15;	34,71;	34,56;	34,25;	34,12;	33,21;	33,2;	32,38;	32,23;	31,69;	31,46;	31,23;	31,02;	30,88;	30,75;	30,55;	30,44;	30,44;	30,13;	29,52;	29,24;	29,07;	29,04;	28,86;	28,6;	28,57;	28,49;	28,27;	27,99;	27,97;	27,84;	27,62;	27,54;	27,31;	27,29;	27,16;	27,0;	26,77;	26,63;	26,52;	26,49;	26,48;	26,38;	26,36;	26,32;	26,28;	26,28;	26,2;	26,14;	26,14;	26,08
10;	10;	9;	1,07;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	92,33;	81,54;	76,69;	74,47;	72,66;	70,18;	66,22;	59,38;	56,79;	54,5;	51,18;	46,74;	44,6;	43,79;	41,89;	36,62;	32,76;	28,16;	27,04;	24,76;	21,33;	19,99;	18,49;	17,52;	13,67;	13,49;	12,27;	11,6;	9,81;	8,48;	8,05;	6,45;	5,85;	4,11;	3,58;	3,09;	2,91;	2,68;	2,37;	1,21;	0,4;	0,16;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
