0;	2;	1;	1,01;	nan;	nan;	100,0;	99,38;	97,8;	97,29;	96,75;	96,21;	96,1;	95,44;	94,92;	94,91;	94,4;	93,88;	93,69;	92,88;	92,55;	92,28;	91,84;	91,72;	91,43;	90,78;	90,75;	90,5;	90,15;	89,99;	89,87;	89,85;	89,36;	89,02;	88,58;	88,45;	88,32;	88,06;	87,87;	87,65;	87,16;	86,54;	86,54;	86,09;	85,96;	85,46;	85,44;	85,08;	84,91;	84,58;	84,46;	83,66;	83,59;	83,14;	83,03;	82,24;	81,71;	81,16;	80,85;	80,44;	80,22;	79,87;	79,55;	78,92;	78,59;	78,24;	77,26;	76,87;	76,1;	75,6;	75,07;	74,81;	74,76;	74,25;	74,01;	73,47;	72,85;	72,79;	72,28;	72,24;	71,77;	71,25;	70,24;	69,78;	69,36;	68,7;	68,48;	68,48;	68,07;	67,48;	67,03;	66,5;	66,39;	65,86;	65,24;	64,97;	64,83;	64,07;	63,87;	63,43;	63,32;	62,78;	62,7;	62,35;	61,83
1;	-15;	1;	0,93;	93,29;	93,22;	92,83;	92,64;	92,16;	91,62;	91,11;	90,92;	90,91;	90,55;	89,92;	89,58;	88,32;	88,13;	87,58;	87,17;	86,83;	85,79;	85,68;	85,43;	85,12;	84,62;	84,25;	83,93;	82,94;	82,28;	82,1;	81,04;	80,86;	79,76;	79,67;	79,59;	79,15;	78,81;	78,19;	77,96;	77,93;	77,48;	77,37;	76,92;	75,97;	74,98;	73,92;	73,26;	73,22;	73,11;	72,31;	71,76;	71,59;	71,32;	71,1;	70,84;	70,82;	69,7;	69,6;	69,24;	68,84;	68,73;	68,0;	67,76;	67,43;	66,75;	66,56;	66,49;	66,28;	66,08;	65,91;	65,84;	65,54;	65,37;	64,82;	64,28;	63,69;	62,74;	62,45;	62,37;	61,97;	61,55;	60,99;	60,78;	60,5;	60,29;	60,16;	60,05;	59,21;	59,06;	58,54;	58,32;	58,06;	57,86;	57,49;	57,36;	57,24;	57,23;	56,36;	55,39;	55,37;	55,28;	54,63;	53,97;	53,9
2;	-6;	1;	1,03;	97,1;	96,47;	96,1;	96,09;	95,5;	95,1;	94,92;	94,52;	93,75;	93,54;	93,18;	92,84;	92,62;	92,48;	92,41;	91,51;	90,43;	89,67;	89,01;	88,7;	88,11;	88,03;	87,83;	86,69;	86,65;	85,72;	85,19;	84,96;	84,91;	84,74;	83,84;	83,28;	82,8;	82,0;	81,3;	80,84;	80,44;	79,18;	78,97;	78,93;	78,87;	78,65;	77,69;	77,46;	76,65;	76,6;	76,44;	76,21;	76,07;	75,83;	75,67;	75,4;	74,6;	74,18;	73,91;	73,26;	73,16;	73,0;	72,75;	72,53;	72,23;	71,9;	71,62;	71,16;	70,28;	69,42;	69,39;	68,77;	68,25;	67,95;	67,85;	67,11;	66,77;	66,47;	66,44;	66,11;	65,91;	65,71;	65,44;	65,28;	64,82;	64,54;	63,67;	62,91;	62,82;	62,48;	61,58;	60,94;	60,84;	60,74;	60,35;	60,17;	60,01;	59,79;	59,3;	58,83;	58,08;	58,07;	57,63;	57,46;	57,45
3;	-2;	1;	1,05;	99,47;	99,18;	98,18;	96,23;	95,95;	95,24;	95,14;	95,12;	95,0;	94,73;	94,37;	94,2;	93,66;	93,49;	92,85;	92,64;	92,08;	92,06;	91,6;	91,0;	90,84;	90,59;	90,23;	89,96;	89,23;	89,2;	88,72;	87,94;	87,74;	87,69;	87,48;	87,31;	87,04;	86,0;	85,54;	84,23;	83,3;	83,26;	82,99;	82,95;	82,0;	81,66;	81,29;	81,12;	80,83;	80,01;	79,81;	79,21;	79,01;	78,93;	77,82;	77,63;	77,54;	77,31;	77,09;	77,08;	76,8;	76,32;	75,71;	75,18;	74,85;	74,14;	73,35;	73,2;	72,78;	72,35;	72,16;	71,57;	71,53;	71,22;	70,63;	70,06;	70,03;	69,31;	69,03;	68,91;	68,09;	67,26;	66,72;	66,24;	65,98;	65,76;	65,01;	64,49;	64,05;	63,81;	63,38;	61,87;	61,32;	61,08;	60,58;	59,38;	58,98;	58,42;	58,17;	57,94;	56,74;	56,3;	55,99;	55,53;	55,35
4;	10;	1;	1,06;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,81;	99,78;	99,19;	98,69;	98,23;	97,99;	97,57;	97,41;	96,99;	96,68;	95,96;	95,19;	95,1;	95,02;	94,16;	93,99;	93,73;	93,65;	93,4;	93,01;	92,59;	92,24;	91,21;	90,6;	90,19;	90,01;	89,41;	89,26;	88,9;	88,73;	88,39;	88,38;	87,83;	87,63;	87,12;	86,89;	85,93;	85,11;	84,62;	84,21;	84,04;	83,65;	83,25;	82,76;	82,29;	81,96;	81,45;	81,17;	80,44;	80,18;	79,56;	78,46;	78,09;	77,74;	77,37;	77,32;	76,52;	76,36;	76,07;	75,97;	75,21;	74,97;	74,61;	74,44;	73,93;	72,61;	71,65;	71,23;	71,21;	71,09;	70,85;	70,81;	70,75;	70,18;	69,65;	69,26;	68,59;	68,23;	67,77;	67,76;	67,63;	67,53;	67,52;	67,27;	67,1;	66,52;	66,44;	66,07;	64,96;	64,37
5;	13;	1;	0,99;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,61;	99,2;	98,39;	98,09;	98,05;	97,94;	97,44;	97,15;	95,73;	95,58;	94,78;	94,51;	94,34;	94,05;	93,76;	93,31;	92,29;	91,58;	90,99;	90,69;	90,62;	90,25;	89,86;	89,26;	88,65;	88,62;	87,47;	87,43;	87,24;	86,74;	86,33;	85,72;	85,4;	85,39;	84,69;	84,56;	84,4;	84,11;	83,95;	83,56;	83,27;	82,94;	82,48;	82,13;	81,98;	81,68;	81,02;	80,19;	80,0;	79,9;	79,44;	79,36;	78,77;	78,26;	78,23;	78,02;	77,83;	77,32;	76,91;	75,9;	75,22;	74,95;	74,8;	74,56;	73,8;	73,15;	73,14;	72,95;	72,87;	72,79;	72,24;	72,17;	71,82;	71,73;	71,29;	71,1;	70,36;	69,95;	69,84;	68,56;	68,4;	68,14;	68,04;	67,22;	66,33;	66,01;	65,8
6;	6;	1;	0,92;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,94;	99,79;	99,35;	99,04;	98,95;	98,62;	98,14;	97,56;	96,93;	96,79;	96,79;	96,64;	96,42;	96,16;	95,5;	94,66;	94,46;	93,76;	93,12;	92,29;	91,83;	91,71;	91,11;	91,08;	91,03;	90,81;	90,43;	90,13;	90,06;	89,46;	88,91;	88,34;	87,65;	86,92;	86,82;	86,01;	85,97;	85,84;	85,59;	85,05;	84,89;	84,76;	84,32;	84,3;	84,05;	83,82;	83,53;	83,21;	82,65;	82,37;	82,01;	81,16;	80,97;	80,75;	80,05;	79,52;	78,82;	78,61;	77,67;	77,5;	77,28;	76,4;	76,35;	75,93;	75,14;	74,46;	73,58;	73,25;	72,8;	72,14;	71,72;	71,12;	71,11;	70,89;	70,31;	70,1;	69,33;	69,0;	68,96;	68,89;	68,39;	68,32;	68,23;	67,92;	67,71;	67,47;	67,01;	66,9;	66,18;	65,64;	64,32;	64,14;	63,87;	63,57
7;	2;	1;	1,04;	nan;	nan;	100,0;	99,86;	99,6;	99,58;	99,25;	98,97;	98,44;	98,42;	97,88;	97,54;	96,75;	96,15;	95,79;	95,4;	94,91;	94,51;	94,43;	94,22;	94,03;	93,92;	93,56;	93,3;	92,0;	91,99;	91,66;	91,35;	90,85;	89,99;	89,15;	89,11;	88,54;	87,99;	87,88;	87,59;	87,37;	87,37;	87,3;	86,38;	85,64;	85,34;	84,78;	84,76;	84,37;	83,68;	83,53;	82,94;	82,9;	82,6;	82,55;	82,2;	82,04;	81,63;	81,15;	81,12;	80,83;	80,5;	80,23;	80,11;	79,84;	79,83;	79,63;	79,16;	78,7;	78,38;	78,1;	77,55;	77,23;	77,0;	76,48;	76,43;	75,56;	75,56;	74,82;	74,63;	73,77;	73,33;	73,16;	72,75;	72,64;	72,42;	71,6;	70,8;	70,46;	70,18;	69,77;	69,47;	68,89;	68,68;	67,81;	67,44;	67,06;	66,36;	66,17;	65,97;	65,25;	64,84;	64,78;	64,4;	64,24
8;	-1;	1;	1,08;	99,88;	99,8;	98,62;	98,28;	98,05;	97,91;	97,84;	97,28;	96,22;	96,11;	95,67;	95,6;	95,21;	94,75;	94,48;	94,38;	93,58;	92,67;	91,9;	91,86;	90,93;	90,59;	89,67;	89,42;	89,41;	88,83;	88,74;	88,39;	87,27;	86,55;	85,98;	85,87;	85,4;	85,29;	85,28;	84,67;	84,48;	84,31;	83,63;	83,54;	83,21;	81,84;	81,68;	81,63;	80,94;	79,9;	79,39;	78,36;	78,16;	78,01;	77,67;	77,51;	77,39;	76,97;	76,55;	76,27;	76,21;	75,43;	75,19;	74,53;	74,11;	73,9;	73,29;	73,15;	73,12;	73,04;	72,82;	72,66;	72,49;	71,94;	71,79;	71,67;	71,46;	71,3;	70,66;	69,97;	69,79;	69,21;	68,84;	68,37;	67,96;	67,86;	67,34;	66,64;	66,59;	65,86;	65,46;	65,35;	65,28;	65,04;	64,8;	64,52;	64,37;	63,63;	63,45;	63,36;	63,2;	63,09;	62,12;	61,76;	60,85
9;	-1;	1;	0,94;	99,86;	99,28;	99,16;	99,06;	97,71;	97,25;	96,97;	96,95;	96,33;	95,72;	95,43;	95,39;	95,19;	94,72;	94,22;	94,01;	93,06;	93,01;	92,64;	92,33;	91,59;	91,03;	91,0;	90,67;	89,84;	89,38;	88,83;	88,51;	88,48;	87,69;	87,38;	87,21;	86,6;	86,55;	86,35;	86,0;	85,98;	85,67;	84,85;	83,88;	82,95;	82,45;	81,75;	81,37;	80,94;	80,65;	79,85;	79,5;	79,32;	78,52;	78,01;	77,85;	76,77;	76,49;	75,41;	75,34;	75,32;	75,16;	75,1;	74,61;	74,16;	73,59;	73,32;	72,87;	72,77;	72,36;	71,63;	71,15;	70,8;	70,57;	70,4;	70,28;	69,74;	69,59;	69,03;	68,18;	67,95;	67,5;	66,94;	66,75;	66,75;	66,52;	66,45;	66,3;	65,87;	65,84;	65,36;	65,16;	64,74;	64,33;	63,9;	63,27;	63,13;	62,73;	62,63;	61,92;	61,28;	60,98;	60,52;	60,47;	60,2
10;	4;	1;	0,93;	nan;	nan;	nan;	nan;	100,0;	99,83;	99,59;	99,35;	98,77;	98,29;	98,06;	97,61;	97,03;	96,97;	96,69;	96,31;	96,06;	96,05;	96,01;	95,69;	94,91;	94,54;	93,28;	93,0;	92,82;	92,5;	92,13;	92,12;	91,87;	91,43;	90,67;	90,23;	90,22;	90,09;	89,67;	89,45;	89,23;	88,89;	88,22;	87,9;	87,86;	87,32;	86,76;	86,62;	86,2;	86,0;	85,51;	85,23;	84,41;	83,21;	82,5;	82,35;	82,24;	81,97;	81,47;	81,31;	81,25;	80,47;	80,17;	79,71;	79,6;	79,59;	78,73;	78,46;	78,09;	77,83;	77,19;	77,08;	75,8;	74,66;	74,08;	73,84;	73,73;	73,69;	73,67;	73,1;	72,12;	71,64;	71,58;	71,38;	71,13;	70,37;	69,89;	69,2;	68,95;	68,82;	68,28;	67,4;	66,78;	66,43;	65,83;	65,67;	64,67;	64,44;	63,72;	63,65;	63,25;	62,81;	62,49;	62,39;	61,74
11;	15;	1;	1,05;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,43;	99,05;	98,3;	98,17;	95,78;	95,74;	95,58;	95,23;	94,48;	94,3;	94,24;	94,01;	94,0;	93,9;	93,85;	93,53;	93,05;	93,0;	92,6;	92,1;	91,78;	91,68;	91,32;	91,19;	90,77;	89,75;	89,41;	88,65;	88,28;	87,94;	87,62;	87,41;	87,3;	86,97;	86,18;	85,5;	85,24;	84,11;	83,53;	82,96;	82,58;	81,96;	81,39;	80,51;	80,18;	79,7;	79,69;	79,39;	78,84;	78,0;	77,59;	77,32;	76,47;	75,93;	75,67;	74,96;	74,23;	74,08;	73,2;	72,97;	72,21;	71,58;	71,12;	70,43;	70,37;	70,11;	70,08;	69,47;	69,37;	69,2;	68,95;	68,3;	67,72;	67,71;	67,49;	67,21;	66,7;	66,23;	66,17;	66,01;	65,99;	65,98;	65,78;	65,36;	65,34
12;	3;	1;	1,02;	nan;	nan;	nan;	100,0;	99,73;	99,66;	98,8;	98,46;	97,76;	97,58;	96,48;	95,39;	94,74;	94,27;	93,76;	93,58;	93,18;	92,26;	91,81;	91,21;	90,99;	90,96;	90,47;	89,82;	89,36;	88,87;	88,34;	87,16;	86,43;	85,98;	85,95;	85,93;	85,01;	84,47;	84,44;	83,97;	83,39;	82,99;	82,97;	82,8;	82,27;	82,17;	81,98;	80,82;	80,82;	80,5;	80,12;	79,77;	78,91;	78,73;	76,9;	76,4;	76,02;	75,67;	75,62;	75,49;	75,37;	75,09;	74,93;	74,83;	74,09;	73,85;	73,56;	73,41;	73,33;	73,12;	73,08;	72,31;	71,97;	71,82;	71,46;	71,09;	70,84;	70,31;	69,59;	69,27;	69,18;	68,76;	68,61;	68,18;	68,18;	67,7;	66,75;	66,73;	65,9;	65,81;	65,02;	64,03;	63,72;	63,38;	63,25;	63,1;	62,43;	62,15;	62,11;	61,94;	61,81;	61,58;	60,45;	60,01;	59,39
