0;	-8;	2;	0,93;	94,35;	93,52;	92,9;	90,16;	89,39;	88,3;	88,1;	87,82;	86,63;	86,09;	85,07;	84,7;	84,01;	83,89;	83,58;	83,25;	82,8;	81,54;	80,68;	80,18;	79,41;	79,0;	78,86;	77,93;	77,18;	76,79;	76,78;	74,82;	73,55;	72,68;	72,56;	72,37;	71,85;	69,43;	68,48;	67,49;	67,37;	67,02;	66,6;	65,15;	64,86;	63,74;	63,44;	62,7;	62,44;	62,16;	61,77;	59,79;	59,35;	59,34;	58,17;	56,66;	55,71;	54,78;	54,21;	54,14;	53,94;	53,19;	52,29;	50,54;	49,09;	49,07;	48,91;	48,86;	48,81;	46,51;	46,02;	44,84;	44,24;	44,15;	42,76;	42,67;	41,41;	41,41;	40,97;	40,24;	39,24;	37,72;	37,58;	36,09;	36,08;	35,75;	34,84;	33,27;	33,24;	31,43;	30,51;	29,36;	29,12;	29,06;	28,68;	27,13;	26,03;	24,72;	24,23;	22,99;	22,87;	21,19;	20,72;	20,55;	20,29
1;	-16;	2;	1,23;	86,21;	85,63;	84,18;	83,6;	81,91;	80,95;	79,81;	79,24;	78,89;	78,4;	78,17;	77,01;	76,31;	72,96;	72,59;	70,74;	70,13;	68,5;	67,73;	66,81;	65,9;	63,85;	62,59;	61,83;	61,34;	59,81;	58,5;	58,09;	57,62;	56,18;	54,13;	53,6;	53,31;	52,05;	50,64;	48,24;	46,91;	46,72;	45,99;	43,65;	42,62;	40,81;	39,21;	39,1;	38,62;	37,11;	35,45;	35,42;	35,26;	34,85;	33,2;	32,15;	29,46;	27,77;	25,85;	25,45;	24,37;	23,49;	23,15;	19,81;	19,55;	18,91;	17,83;	16,52;	15,92;	15,51;	13,09;	12,52;	11,58;	11,06;	10,78;	9,81;	8,23;	7,91;	6,43;	6,35;	4,5;	4,47;	4,11;	3,7;	3,54;	1,89;	1,15;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
2;	6;	2;	1,58;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	98,41;	97,93;	97,01;	96,09;	96,05;	93,72;	91,31;	90,67;	88,27;	85,19;	84,19;	82,57;	82,06;	80,43;	76,96;	75,9;	75,15;	73,65;	72,29;	69,62;	68,46;	64,49;	63,64;	62,83;	60,52;	58,43;	57,65;	55,78;	55,61;	54,19;	53,74;	53,28;	51,76;	48,89;	48,54;	45,79;	45,63;	45,36;	45,29;	44,38;	44,03;	40,56;	39,62;	37,45;	37,04;	36,67;	34,66;	33,79;	31,3;	26,17;	24,87;	21,72;	21,44;	20,97;	19,85;	18,56;	14,56;	13,52;	13,51;	13,29;	10,45;	9,27;	9,11;	6,72;	5,87;	5,51;	5,18;	1,97;	1,8;	1,33;	0,33;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
3;	2;	2;	0,99;	nan;	nan;	100,0;	99,26;	98,44;	98,34;	98,12;	96,99;	94,7;	94,33;	93,16;	91,33;	90,42;	89,68;	89,08;	88,87;	88,21;	87,65;	86,87;	86,78;	86,41;	85,84;	85,43;	85,32;	85,16;	84,8;	83,06;	81,21;	80,91;	79,77;	79,02;	76,82;	76,61;	75,82;	75,55;	75,23;	74,82;	74,01;	72,71;	70,53;	69,22;	69,14;	68,78;	68,33;	67,16;	66,76;	65,69;	64,87;	64,82;	63,51;	62,44;	61,01;	60,99;	60,44;	58,93;	58,89;	56,63;	55,93;	54,3;	53,51;	53,16;	53,07;	51,58;	50,11;	49,59;	49,56;	48,46;	48,25;	47,25;	45,41;	43,86;	41,89;	40,79;	39,52;	38,4;	37,02;	34,99;	34,42;	34,28;	34,28;	33,55;	32,49;	30,84;	29,32;	29,29;	26,78;	26,33;	25,3;	25,12;	23,85;	23,39;	22,54;	22,03;	21,13;	19,83;	19,68;	18,81;	18,26;	17,33;	16,0;	15,25
4;	-5;	2;	1,03;	95,78;	95,4;	94,82;	93,93;	93,76;	91,65;	91,1;	90,12;	89,59;	88,26;	87,23;	87,1;	85,45;	84,9;	84,51;	83,2;	81,14;	79,84;	79,25;	79,09;	78,4;	77,8;	76,46;	76,23;	75,93;	74,87;	74,11;	74,06;	73,07;	71,99;	71,89;	71,62;	70,49;	69,23;	69,06;	68,45;	67,44;	66,88;	65,01;	64,76;	64,69;	63,24;	61,82;	61,73;	61,54;	59,74;	59,51;	58,46;	58,33;	57,65;	56,61;	56,12;	55,6;	54,82;	54,39;	52,69;	51,61;	51,06;	49,34;	48,8;	47,81;	47,81;	47,09;	46,2;	45,88;	45,57;	44,73;	41,9;	41,75;	41,46;	40,81;	39,88;	38,13;	35,25;	34,32;	33,6;	33,28;	32,21;	31,12;	30,07;	29,98;	29,24;	29,05;	28,1;	26,88;	26,83;	26,72;	26,54;	26,12;	24,76;	24,17;	23,54;	22,48;	22,25;	21,47;	21,36;	21,08;	20,66;	19,81;	18,98;	18,9
5;	-1;	2;	1,17;	99,36;	98,48;	96,4;	96,1;	95,12;	93,38;	92,94;	92,65;	91,72;	90,86;	90,8;	88,48;	86,94;	86,04;	85,21;	84,06;	83,66;	83,32;	81,57;	81,13;	78,8;	76,82;	76,6;	75,3;	74,99;	74,57;	74,11;	73,73;	73,35;	72,23;	71,93;	71,26;	69,82;	67,94;	67,46;	67,02;	66,14;	65,75;	65,05;	64,27;	63,55;	62,44;	60,83;	60,04;	58,97;	57,48;	57,43;	55,6;	55,12;	54,18;	53,57;	53,57;	53,26;	52,96;	49,73;	49,5;	48,9;	48,5;	48,16;	47,82;	47,02;	46,69;	45,59;	44,61;	44,19;	43,11;	42,81;	41,63;	40,97;	40,56;	39,89;	38,43;	37,81;	35,89;	35,65;	34,76;	34,12;	33,94;	33,71;	33,49;	32,68;	31,57;	31,14;	29,63;	28,64;	27,75;	26,32;	25,42;	24,74;	24,19;	22,14;	22,01;	20,81;	19,5;	18,0;	15,3;	14,38;	13,02;	12,95;	11,86;	11,56
6;	7;	2;	1,19;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,96;	99,11;	98,85;	98,4;	97,47;	95,8;	94,04;	93,3;	91,7;	91,51;	90,22;	90,1;	89,92;	89,02;	88,77;	88,74;	87,03;	86,32;	86,22;	84,77;	82,67;	80,38;	79,79;	77,96;	77,06;	75,58;	74,39;	72,68;	72,39;	70,51;	68,92;	67,01;	65,9;	64,43;	63,91;	63,29;	60,79;	57,38;	56,61;	56,34;	55,06;	54,12;	53,73;	52,13;	50,59;	50,09;	49,05;	48,22;	47,28;	47,23;	47,21;	45,34;	44,52;	44,08;	41,69;	40,66;	38,96;	38,11;	37,94;	37,62;	35,95;	34,01;	33,87;	33,84;	32,21;	32,18;	31,42;	30,25;	28,02;	27,89;	26,52;	25,38;	25,23;	25,12;	24,43;	22,97;	21,71;	19,08;	17,35;	16,91;	16,9;	16,89;	15,29;	14,42;	14,41;	13,12;	12,11;	12,07;	10,38;	9,63;	8,62;	8,42;	7,16
7;	-1;	2;	0,94;	99,8;	99,02;	98,89;	97,45;	96,72;	96,4;	96,07;	95,55;	94,35;	94,28;	94,17;	92,46;	91,64;	90,91;	90,7;	90,68;	89,49;	88,74;	87,24;	86,57;	86,36;	85,68;	84,76;	84,15;	83,85;	82,24;	82,06;	81,43;	81,39;	80,46;	80,13;	80,1;	79,42;	78,8;	78,03;	76,98;	75,94;	75,14;	74,49;	74,47;	73,22;	72,95;	71,59;	70,66;	69,76;	69,6;	68,1;	66,46;	66,3;	65,73;	65,63;	65,12;	64,95;	64,1;	62,71;	62,66;	62,02;	61,19;	60,48;	60,21;	58,96;	57,87;	57,68;	56,45;	56,35;	55,77;	54,25;	53,22;	51,93;	50,34;	49,65;	49,62;	48,15;	47,75;	47,19;	47,07;	46,83;	45,39;	44,89;	44,69;	42,22;	42,06;	41,21;	40,9;	40,79;	39,78;	39,21;	38,81;	37,48;	36,37;	35,7;	35,43;	34,39;	34,1;	33,93;	33,89;	33,31;	32,82;	31,89;	30,04;	29,3
8;	-4;	2;	0,66;	97,72;	97,39;	97,32;	97,17;	95,88;	95,41;	94,57;	94,51;	94,34;	93,71;	93,47;	93,16;	92,81;	92,04;	91,79;	90,94;	90,65;	89,96;	89,61;	89,11;	88,82;	88,3;	87,13;	86,86;	86,07;	85,54;	84,91;	84,67;	84,26;	84,24;	84,11;	83,13;	83,04;	81,63;	80,78;	80,15;	79,26;	78,15;	78,12;	77,56;	77,09;	76,78;	75,92;	75,79;	75,48;	74,31;	73,09;	72,3;	71,56;	70,67;	70,16;	70,05;	69,95;	69,23;	67,98;	67,71;	67,16;	66,56;	66,54;	65,24;	64,76;	64,63;	64,46;	64,15;	64,05;	64,03;	63,92;	63,85;	62,91;	61,3;	60,89;	60,39;	60,19;	58,8;	58,53;	58,05;	57,83;	57,8;	56,55;	56,07;	55,86;	55,16;	55,06;	54,01;	53,91;	53,76;	53,35;	52,93;	52,82;	52,3;	51,32;	50,92;	50,33;	49,51;	49,33;	49,01;	48,81;	48,58;	48,55;	47,39;	47,27
9;	4;	2;	1,14;	nan;	nan;	nan;	nan;	100,0;	98,35;	97,82;	97,49;	96,46;	95,62;	95,19;	95,17;	94,81;	93,8;	93,6;	92,4;	91,38;	90,06;	89,41;	88,14;	87,77;	87,35;	86,82;	85,54;	84,29;	83,82;	83,27;	80,7;	80,55;	79,89;	79,43;	77,82;	77,71;	77,5;	77,28;	76,51;	75,86;	74,33;	73,92;	73,14;	71,92;	71,59;	69,58;	68,34;	65,76;	65,11;	63,93;	62,86;	62,08;	60,12;	59,84;	59,69;	57,59;	56,84;	56,25;	55,71;	53,99;	50,26;	49,71;	48,75;	46,86;	45,34;	45,18;	45,13;	44,29;	43,82;	42,44;	39,89;	39,74;	39,21;	38,79;	37,41;	34,59;	34,0;	33,43;	33,22;	31,56;	30,51;	30,01;	29,83;	27,84;	26,44;	24,49;	23,9;	23,27;	22,36;	21,81;	21,24;	21,21;	20,43;	19,86;	17,96;	17,44;	16,59;	16,43;	15,99;	15,24;	12,96;	12,46;	11,97;	9,79
