0;	21;	5;	0,96;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,96;	99,9;	99,74;	99,28;	98,99;	98,33;	98,03;	97,56;	97,33;	97,15;	96,85;	96,53;	96,41;	95,87;	95,17;	94,02;	93,48;	92,67;	92,51;	91,59;	91,3;	91,12;	91,11;	90,11;	89,68;	89,23;	88,68;	86,98;	84,42;	83,02;	82,2;	81,16;	78,19;	74,9;	74,63;	73,94;	73,56;	72,93;	69,21;	66,79;	63,72;	62,41;	58,58;	56,49;	54,66;	53,91;	52,7;	50,72;	48,55;	45,25;	42,76;	40,48;	39,24;	37,78;	37,09;	36,86;	35,72;	34,14;	34,1;	29,72;	29,27;	25,8;	24,97;	20,9;	14,88;	14,45;	11,83;	11,48;	10,1;	5,43;	2,38;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
1;	-9;	5;	1,02;	97,93;	97,41;	97,07;	96,62;	96,51;	96,16;	95,51;	94,43;	92,9;	91,58;	91,1;	90,93;	90,92;	89,88;	89,86;	89,07;	88,36;	87,53;	87,37;	86,01;	83,89;	83,69;	82,68;	79,85;	77,64;	74,96;	74,74;	74,31;	72,9;	72,01;	71,02;	68,37;	64,74;	63,15;	58,06;	57,9;	54,87;	54,6;	54,11;	51,45;	50,22;	49,21;	41,83;	41,23;	39,98;	38,4;	36,66;	35,86;	32,61;	27,62;	22,04;	18,09;	15,66;	15,24;	14,26;	11,96;	9,85;	7,28;	3,25;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
2;	-10;	5;	1,02;	97,52;	96,89;	96,63;	95,81;	95,52;	95,29;	95,21;	94,91;	94,02;	93,85;	92,95;	92,26;	91,06;	88,09;	87,65;	84,39;	84,28;	83,97;	83,26;	81,78;	77,6;	76,67;	76,47;	73,85;	72,49;	71,84;	70,48;	70,14;	69,53;	67,36;	65,7;	64,11;	63,42;	61,7;	60,5;	59,75;	59,15;	56,98;	56,03;	54,44;	50,37;	49,04;	46,39;	37,54;	37,2;	36,19;	30,23;	28,8;	21,81;	18,21;	14,76;	13,59;	10,57;	7,74;	7,68;	3,81;	1,2;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
3;	-3;	5;	0,97;	99,6;	99,59;	99,53;	99,15;	99,01;	98,61;	98,16;	98,1;	97,53;	96,76;	95,85;	95,44;	94,97;	94,76;	94,18;	93,59;	92,6;	91,4;	91,2;	91,11;	90,75;	89,16;	88,42;	86,94;	85,86;	85,48;	83,94;	83,59;	83,42;	83,35;	82,02;	81,3;	79,6;	78,72;	77,55;	77,19;	76,62;	75,23;	74,5;	72,16;	70,28;	69,45;	68,82;	65,3;	61,85;	60,9;	60,53;	58,28;	55,82;	51,64;	47,38;	42,93;	40,3;	38,35;	33,85;	31,98;	31,25;	29,39;	24,3;	24,13;	22,34;	17,93;	16,46;	14,9;	13,96;	8,82;	7,71;	5,24;	3,9;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
4;	0;	5;	1,07;	100,0;	99,95;	99,91;	99,89;	99,57;	99,29;	99,05;	98,64;	98,49;	97,43;	97,01;	96,67;	96,61;	95,97;	95,88;	95,62;	94,63;	94,35;	93,27;	91,03;	90,6;	90,06;	88,78;	88,17;	88,09;	87,63;	87,32;	86,1;	84,27;	83,27;	82,29;	81,66;	79,96;	77,61;	77,6;	73,18;	70,8;	68,03;	62,27;	60,33;	59,26;	57,61;	56,31;	53,86;	52,04;	50,52;	50,23;	47,37;	44,25;	40,39;	39,33;	37,5;	35,83;	33,22;	30,62;	27,74;	23,55;	21,77;	17,65;	17,14;	14,26;	12,85;	12,09;	11,44;	9,3;	5,05;	3,09;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
5;	-12;	5;	1,03;	96,46;	96,17;	95,61;	94,55;	93,56;	92,93;	92,46;	91,56;	91,07;	89,85;	88,27;	87,12;	86,89;	85,07;	82,56;	81,52;	80,9;	80,06;	79,7;	78,96;	78,67;	77,85;	76,9;	75,35;	74,93;	71,38;	71,24;	71,11;	68,2;	65,27;	64,41;	62,87;	61,73;	60,93;	55,27;	51,99;	48,45;	48,27;	45,26;	43,18;	42,7;	39,58;	38,21;	37,88;	36,73;	34,49;	32,09;	30,08;	28,8;	28,41;	27,35;	24,03;	23,77;	23,66;	23,17;	16,95;	11,13;	5,64;	5,22;	4,91;	2,69;	2,43;	0,6;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
6;	5;	5;	0,89;	nan;	nan;	nan;	nan;	nan;	100,0;	99,94;	99,84;	99,72;	99,71;	99,67;	99,31;	99,04;	98,63;	98,12;	97,66;	97,65;	96,96;	96,19;	95,51;	94,55;	94,32;	94,13;	93,24;	92,84;	91,43;	90,74;	90,19;	88,05;	87,62;	86,15;	85,98;	84,18;	83,97;	83,13;	81,84;	81,74;	81,03;	79,56;	79,33;	78,31;	76,65;	76,17;	75,08;	73,75;	73,29;	71,63;	70,14;	67,73;	65,02;	63,3;	62,83;	62,54;	62,52;	62,18;	57,73;	56,55;	55,25;	52,32;	52,17;	52,05;	50,62;	49,3;	47,3;	43,06;	38,39;	36,63;	36,18;	35,94;	33,66;	32,38;	31,18;	27,21;	26,63;	26,54;	24,36;	18,78;	18,73;	17,91;	15,78;	12,79;	11,05;	5,9;	4,5;	1,03;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
7;	-4;	5;	0,93;	99,84;	99,76;	99,74;	99,7;	99,69;	99,67;	99,5;	99,3;	98,18;	97,4;	97,14;	96,84;	95,02;	94,81;	94,15;	93,07;	91,54;	90,91;	90,38;	90,24;	89,86;	89,56;	88,52;	85,64;	84,1;	82,97;	82,03;	81,87;	80,3;	78,02;	75,62;	73,63;	73,13;	71,61;	71,47;	66,69;	66,15;	64,9;	62,59;	60,71;	58,69;	56,43;	55,84;	51,72;	47,11;	46,26;	45,96;	44,86;	44,7;	43,33;	41,77;	38,87;	31,64;	31,48;	27,82;	26,35;	24,69;	24,41;	20,02;	18,6;	17,78;	15,69;	14,59;	12,93;	12,36;	11,01;	8,93;	8,8;	4,59;	3,48;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
8;	0;	5;	0,98;	100,0;	99,92;	99,7;	99,47;	99,26;	98,74;	98,13;	97,99;	97,84;	97,61;	97,4;	97,36;	97,14;	96,95;	96,38;	95,52;	95,38;	94,3;	93,58;	93,42;	92,4;	92,39;	91,14;	90,36;	89,02;	88,73;	88,28;	87,5;	87,46;	87,1;	84,97;	83,78;	80,84;	79,92;	79,67;	77,52;	77,45;	74,9;	71,53;	69,22;	68,09;	65,67;	65,2;	64,29;	63,31;	62,71;	60,63;	59,89;	58,68;	58,08;	55,49;	53,15;	52,03;	49,9;	48,62;	45,11;	40,66;	37,96;	36,53;	35,51;	34,44;	30,3;	26,83;	23,91;	20,56;	19,84;	19,48;	11,25;	8,15;	7,17;	7,12;	2,84;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
9;	-1;	5;	0,83;	100,0;	99,98;	99,97;	99,81;	99,65;	99,62;	99,5;	98,97;	98,65;	98,32;	97,98;	97,75;	96,93;	96,83;	96,75;	96,05;	94,65;	94,29;	92,93;	92,84;	92,13;	91,96;	91,15;	90,4;	89,7;	86,5;	86,27;	85,12;	83,56;	83,52;	82,06;	80,94;	78,32;	76,87;	76,45;	75,86;	72,62;	69,88;	68,43;	66,18;	65,59;	63,29;	60,96;	59,15;	56,64;	56,27;	55,54;	53,76;	50,76;	50,46;	49,2;	49,01;	45,87;	45,77;	44,12;	43,48;	40,99;	38,57;	37,95;	36,82;	32,61;	31,74;	31,69;	31,67;	30,09;	26,88;	24,96;	24,17;	22,82;	19,02;	17,67;	16,03;	14,68;	10,27;	8,48;	6,34;	2,96;	1,12;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
10;	-4;	5;	1,02;	99,47;	99,2;	99,03;	98,63;	98,21;	98,05;	97,53;	96,65;	95,78;	95,08;	94,38;	93,96;	93,24;	93,08;	91,33;	91,14;	91,02;	90,78;	89,65;	89,2;	87,14;	85,85;	84,56;	82,84;	82,64;	82,41;	82,0;	81,3;	80,19;	77,83;	77,3;	75,99;	72,96;	71,77;	71,59;	70,27;	68,99;	67,72;	66,13;	65,91;	64,19;	63,27;	59,24;	57,65;	55,14;	54,13;	50,85;	50,55;	50,26;	49,87;	48,84;	46,93;	42,13;	39,09;	34,47;	31,4;	30,42;	23,59;	19,21;	17,19;	12,5;	8,91;	7,75;	4,9;	2,99;	1,34;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
