0;	6;	8;	0,7;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	98,09;	96,3;	94,9;	93,96;	93,46;	92,88;	91,47;	90,63;	86,55;	84,13;	83,01;	82,54;	81,88;	79,81;	79,48;	79,19;	78,78;	77,7;	74,65;	72,64;	71,46;	71,32;	69,9;	69,28;	68,46;	68,2;	67,64;	67,0;	66,34;	66,08;	64,77;	63,11;	62,92;	61,84;	61,14;	60,24;	59,48;	59,35;	58,32;	58,27;	56,57;	55,33;	54,86;	53,29;	52,03;	50,92;	49,82;	49,12;	47,16;	46,78;	46,18;	45,46;	44,64;	43,57;	43,23;	42,62;	42,62;	42,13;	41,22;	41,13;	40,53;	40,34;	40,16;	39,77;	39,64;	39,58;	39,57;	38,85;	38,57;	37,78;	37,69;	37,31;	36,84;	36,19;	36,15;	35,79;	35,56;	35,45;	34,95;	34,78;	34,57;	34,5;	34,46;	34,3;	34,12;	34,06;	33,77;	33,77;	33,64;	33,47;	33,11;	32,99;	32,97;	32,96
1;	2;	8;	1,14;	nan;	nan;	100,0;	99,95;	99,26;	96,84;	95,93;	90,1;	88,88;	86,4;	86,31;	82,94;	79,58;	79,06;	77,02;	75,23;	74,24;	69,96;	69,85;	69,34;	67,38;	65,33;	63,52;	63,41;	61,93;	60,82;	58,56;	57,1;	55,71;	55,53;	50,64;	50,5;	50,2;	48,8;	45,34;	44,81;	43,04;	42,09;	40,65;	40,08;	38,59;	36,97;	35,2;	34,14;	33,86;	33,23;	32,8;	31,48;	30,85;	27,7;	26,03;	25,91;	25,37;	24,03;	22,69;	21,49;	18,23;	17,08;	15,58;	14,46;	13,66;	12,57;	10,93;	9,15;	9,02;	8,47;	7,63;	6,09;	4,45;	3,63;	2,58;	1,58;	1,13;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
2;	-1;	8;	1,16;	98,59;	91,94;	90,16;	87,67;	83,41;	79,43;	75,0;	74,74;	74,15;	71,32;	70,25;	69,15;	68,12;	63,71;	60,79;	57,18;	56,15;	53,62;	52,73;	52,27;	46,46;	44,78;	42,25;	41,98;	41,31;	37,78;	34,97;	33,28;	32,52;	29,86;	28,66;	26,24;	24,21;	22,03;	20,2;	18,43;	17,99;	16,71;	13,57;	13,09;	13,01;	12,22;	11,13;	9,46;	6,65;	4,18;	3,42;	3,14;	1,0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
3;	4;	8;	1,04;	nan;	nan;	nan;	nan;	100,0;	98,7;	98,39;	92,55;	90,37;	86,77;	85,55;	83,63;	82,08;	79,14;	77,94;	77,84;	77,14;	76,07;	71,89;	67,34;	65,93;	62,92;	61,09;	60,33;	58,96;	56,98;	51,38;	49,38;	49,26;	46,45;	44,66;	40,73;	40,48;	36,03;	34,81;	33,34;	31,09;	30,16;	29,91;	29,0;	27,65;	24,99;	24,94;	24,6;	23,48;	22,73;	21,76;	18,39;	17,45;	17,12;	15,6;	13,6;	12,41;	11,69;	10,78;	10,29;	9,42;	8,19;	7,09;	7,08;	4,84;	4,36;	2,61;	2,59;	2,46;	1,87;	1,22;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
4;	5;	8;	1,02;	nan;	nan;	nan;	nan;	nan;	100,0;	98,75;	97,9;	97,52;	97,52;	92,3;	90,74;	85,21;	80,69;	79,23;	75,99;	75,84;	74,62;	74,56;	73,37;	73,36;	72,14;	71,07;	70,97;	69,91;	65,5;	64,16;	63,52;	63,19;	62,87;	60,73;	58,83;	57,85;	57,37;	57,02;	53,78;	50,47;	46,89;	46,45;	43,79;	43,49;	43,01;	40,71;	40,19;	39,45;	38,04;	37,55;	35,74;	33,06;	31,57;	31,15;	30,04;	29,49;	29,01;	27,9;	25,58;	25,33;	23,72;	22,59;	20,26;	19,89;	18,84;	18,63;	18,41;	16,3;	16,07;	15,26;	13,79;	12,06;	11,34;	11,24;	10,63;	10,18;	10,03;	9,53;	9,14;	8,86;	8,68;	8,07;	7,98;	6,97;	6,56;	6,49;	6,09;	5,66;	5,36;	5,29;	5,04;	4,77;	4,62;	4,51;	3,95;	3,8;	3,23;	2,94;	2,81;	2,73;	2,42;	2,34;	2,23;	2,12
5;	-9;	8;	1,2;	76,79;	76,62;	72,66;	70,53;	68,67;	64,51;	58,99;	54,9;	51,85;	48,76;	45,26;	43,4;	43,2;	40,84;	37,61;	36,73;	35,72;	33,14;	32,36;	29,11;	27,15;	26,79;	26,5;	26,01;	23,93;	21,98;	21,77;	19,6;	18,52;	16,97;	16,42;	10,39;	9,18;	8,93;	7,7;	7,32;	5,38;	5,02;	4,94;	0,91;	0,78;	0,5;	0,21;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
6;	-1;	8;	1,3;	92,32;	85,86;	85,21;	84,35;	81,36;	76,01;	72,53;	71,61;	69,41;	67,54;	66,79;	66,5;	64,91;	63,42;	59,92;	55,97;	54,67;	53,9;	51,68;	49,18;	45,57;	43,09;	41,42;	35,32;	32,55;	31,21;	27,95;	25,4;	25,19;	21,93;	21,91;	20,12;	20,12;	18,93;	18,57;	16,65;	16,14;	14,3;	14,25;	12,74;	7,09;	6,54;	4,89;	4,04;	3,95;	2,6;	1,96;	1,01;	0,44;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
7;	-3;	8;	1,3;	97,71;	93,12;	90,48;	87,83;	86,38;	85,95;	85,4;	84,93;	83,82;	83,62;	82,28;	79,29;	76,41;	72,55;	71,94;	71,03;	69,79;	66,24;	66,19;	64,17;	63,68;	62,84;	60,49;	58,14;	55,6;	55,17;	52,17;	49,11;	47,17;	46,7;	41,79;	41,41;	41,03;	36,96;	35,84;	35,24;	32,99;	32,31;	30,24;	29,48;	28,68;	27,44;	25,55;	24,08;	24,04;	23,06;	20,27;	19,07;	16,92;	16,23;	14,56;	13,88;	12,0;	10,63;	10,16;	9,88;	9,48;	9,24;	8,37;	7,82;	7,05;	6,73;	5,16;	3,16;	1,41;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
8;	-2;	8;	0,96;	94,34;	92,72;	91,62;	88,98;	88,65;	87,3;	84,63;	84,37;	82,15;	82,08;	79,5;	75,45;	74,18;	73,85;	71,74;	71,67;	71,3;	70,34;	69,43;	64,35;	63,07;	62,86;	62,06;	61,87;	61,26;	60,21;	57,89;	57,06;	54,97;	53,1;	50,86;	50,49;	49,43;	48,8;	45,56;	45,18;	43,74;	43,48;	43,18;	43,06;	42,77;	42,77;	42,14;	41,0;	40,6;	39,15;	37,56;	35,39;	34,02;	33,88;	32,11;	31,44;	30,61;	29,74;	29,37;	28,82;	28,72;	27,77;	26,23;	26,01;	25,79;	24,42;	22,53;	22,39;	22,29;	21,79;	20,75;	19,54;	19,19;	18,63;	18,43;	16,82;	16,22;	15,29;	15,21;	14,85;	14,75;	14,03;	13,76;	13,65;	13,62;	13,18;	12,9;	12,71;	12,11;	11,92;	11,79;	11,48;	11,47;	11,36;	11,25;	11,1;	10,95;	10,86;	10,85;	10,85;	10,84;	10,82;	10,82;	10,82;	10,82
9;	4;	8;	0,82;	nan;	nan;	nan;	nan;	100,0;	99,21;	94,97;	94,88;	94,47;	92,6;	92,06;	91,47;	90,43;	90,21;	89,17;	87,3;	84,5;	81,76;	80,96;	80,32;	80,06;	79,77;	77,98;	77,09;	76,46;	76,07;	74,58;	72,43;	70,08;	69,93;	68,01;	67,19;	66,86;	65,9;	63,57;	60,49;	60,29;	58,84;	58,55;	57,15;	55,7;	54,54;	54,35;	53,1;	51,34;	49,74;	49,53;	48,48;	48,28;	47,61;	46,81;	46,05;	44,59;	44,31;	41,62;	40,28;	39,26;	37,24;	36,78;	36,54;	36,44;	34,45;	32,8;	31,39;	30,71;	30,36;	29,79;	29,72;	28,53;	28,45;	27,9;	26,37;	26,17;	25,49;	24,9;	24,49;	24,12;	23,64;	23,53;	23,49;	23,32;	23,03;	22,21;	21,47;	21,41;	20,87;	20,84;	20,13;	19,96;	19,61;	19,53;	19,24;	18,9;	18,54;	18,1;	18,03;	18,02;	17,94;	17,81;	17,7;	17,65
10;	-3;	8;	1,5;	93,04;	89,95;	82,2;	80,6;	78,37;	74,36;	65,8;	62,96;	58,33;	55,62;	51,3;	49,46;	47,21;	46,34;	46,34;	45,75;	45,75;	44,93;	43,99;	39,77;	38,47;	36,2;	35,87;	34,28;	32,75;	30,38;	26,98;	25,36;	22,98;	22,2;	22,19;	21,49;	20,48;	17,66;	16,4;	14,34;	12,08;	11,92;	10,55;	8,6;	5,46;	5,35;	0,92;	0,26;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
11;	0;	8;	1,17;	100,0;	95,2;	94,64;	94,62;	94,07;	91,74;	88,58;	85,8;	84,25;	83,11;	82,29;	79,25;	76,79;	74,67;	73,45;	68,96;	67,52;	66,91;	61,84;	61,14;	60,61;	58,67;	54,23;	52,68;	49,81;	46,9;	46,67;	46,2;	44,37;	42,08;	39,09;	38,7;	37,13;	36,28;	34,33;	32,15;	31,04;	29,44;	29,38;	28,46;	27,61;	27,21;	25,6;	24,71;	22,38;	21,32;	19,25;	17,64;	17,27;	14,7;	14,06;	13,5;	12,41;	12,35;	12,26;	10,12;	9,51;	6,65;	6,09;	4,82;	3,42;	2,9;	1,93;	0,73;	0,54;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
