0;	-13;	8;	0,94;	82,69;	80,15;	78,79;	77,26;	75,87;	74,72;	73,53;	70,97;	70,44;	68,11;	67,6;	67,18;	66,79;	64,68;	64,62;	63,18;	62,78;	61,18;	60,4;	59,62;	57,87;	57,21;	56,39;	55,68;	55,27;	53,43;	51,79;	50,18;	49,36;	47,86;	47,7;	46,81;	45,68;	43,51;	41,84;	40,46;	38,69;	38,67;	37,83;	37,44;	37,34;	35,9;	35,45;	34,15;	32,79;	31,95;	31,21;	29,74;	29,56;	28,83;	28,79;	27,88;	27,78;	27,13;	27,13;	27,07;	26,49;	25,8;	25,0;	24,56;	24,39;	24,01;	23,62;	23,41;	22,84;	22,59;	22,14;	21,45;	21,35;	21,27;	20,59;	20,46;	20,45;	20,27;	19,78;	19,44;	19,39;	19,09;	19,06;	18,85;	18,62;	18,52;	18,35;	18,35;	18,25;	18,2;	18,2;	18,2;	18,2;	18,2;	18,2;	18,2;	18,2;	18,2;	18,2;	18,2;	18,2;	18,2;	18,2;	18,2;	18,2
1;	-11;	8;	0,75;	84,1;	83,15;	79,3;	76,59;	76,38;	75,98;	74,75;	74,46;	73,79;	71,92;	69,75;	69,02;	67,31;	64,4;	62,77;	61,05;	59,97;	59,92;	59,35;	57,3;	54,74;	52,66;	50,84;	49,2;	47,89;	47,47;	45,89;	45,86;	44,63;	44,29;	42,91;	42,69;	42,62;	39,76;	38,98;	38,65;	38,39;	37,33;	33,23;	33,13;	32,39;	32,21;	32,03;	31,09;	30,64;	29,32;	28,85;	28,31;	28,27;	27,75;	27,0;	26,27;	26,27;	25,74;	25,23;	25,21;	25,15;	24,38;	22,97;	22,92;	22,86;	22,75;	22,35;	21,94;	21,91;	21,3;	20,95;	20,48;	20,25;	20,19;	19,73;	19,65;	18,9;	18,87;	18,66;	18,55;	17,85;	17,62;	17,46;	17,31;	17,07;	16,98;	16,91;	16,87;	16,76;	16,68;	16,66;	16,63;	16,62;	16,62;	16,62;	16,62;	16,62;	16,62;	16,62;	16,62;	16,62;	16,62;	16,62;	16,62;	16,62
2;	-12;	8;	0,97;	75,85;	72,91;	70,82;	70,59;	69,79;	68,92;	66,93;	66,65;	66,01;	63,32;	62,27;	60,88;	60,78;	60,18;	58,9;	58,02;	57,65;	56,1;	53,72;	50,52;	49,99;	47,8;	47,41;	46,62;	45,12;	42,99;	42,01;	41,06;	40,75;	38,27;	36,47;	36,23;	33,35;	33,29;	32,52;	31,34;	30,61;	30,59;	28,26;	26,37;	25,83;	24,7;	23,86;	23,82;	23,03;	20,88;	20,23;	19,4;	17,91;	17,8;	17,12;	16,63;	16,41;	16,09;	15,51;	14,91;	14,28;	14,0;	13,28;	13,12;	12,81;	12,77;	12,05;	11,06;	10,37;	9,75;	9,29;	9,24;	8,99;	8,94;	8,72;	8,68;	8,5;	8,49;	8,37;	8,02;	7,93;	7,77;	7,31;	7,19;	7,1;	7,04;	6,93;	6,84;	6,72;	6,68;	6,64;	6,63;	6,63;	6,63;	6,63;	6,63;	6,63;	6,63;	6,63;	6,63;	6,63;	6,63;	6,63;	6,63;	6,63
3;	-12;	8;	0,86;	75,87;	73,96;	73,15;	71,45;	71,41;	71,03;	69,42;	68,63;	67,19;	63,88;	62,04;	61,31;	60,58;	59,28;	57,5;	55,18;	54,68;	54,01;	53,07;	52,46;	51,79;	50,27;	46,92;	46,59;	46,02;	45,4;	43,61;	43,42;	42,35;	42,05;	41,75;	41,13;	40,52;	38,21;	36,62;	36,15;	36,09;	35,68;	35,23;	33,56;	33,5;	32,63;	32,09;	32,02;	30,75;	29,42;	28,43;	27,11;	24,43;	24,0;	22,86;	22,26;	21,89;	21,57;	20,47;	19,81;	19,76;	19,31;	19,31;	19,17;	19,06;	19,0;	18,9;	18,87;	18,66;	18,29;	17,99;	17,96;	17,62;	17,34;	17,24;	17,11;	17,07;	16,19;	15,94;	15,3;	14,93;	14,59;	14,41;	13,89;	13,81;	13,69;	13,6;	13,5;	13,44;	13,31;	13,3;	13,29;	13,29;	13,29;	13,29;	13,29;	13,29;	13,29;	13,29;	13,29;	13,29;	13,29;	13,29;	13,29;	13,29
4;	-22;	8;	0,99;	59,98;	58,31;	57,91;	55,59;	55,16;	54,35;	53,83;	51,44;	50,11;	49,62;	48,54;	46,04;	44,47;	43,9;	43,73;	43,68;	43,67;	41,57;	41,06;	40,55;	40,33;	39,47;	37,95;	36,17;	35,91;	35,63;	33,71;	32,71;	31,58;	30,7;	29,82;	28,81;	28,03;	27,98;	27,34;	26,88;	25,3;	25,25;	24,38;	24,16;	24,06;	22,65;	22,0;	20,81;	20,03;	19,11;	18,86;	17,74;	17,39;	15,88;	15,22;	14,9;	14,46;	13,91;	13,48;	13,15;	12,6;	12,55;	12,32;	12,25;	12,2;	11,71;	11,23;	11,0;	10,81;	10,0;	9,42;	9,23;	8,97;	8,75;	8,66;	8,55;	8,44;	8,27;	8,23;	8,2;	8,16;	8,15;	8,15;	8,15;	8,15;	8,15;	8,15;	8,15;	8,15;	8,15;	8,15;	8,15;	8,15;	8,15;	8,15;	8,15;	8,15;	8,15;	8,15;	8,15;	8,15;	8,15;	8,15;	8,15;	8,15
5;	-10;	8;	0,99;	81,84;	81,64;	77,73;	74,19;	73,03;	70,42;	68,6;	67,55;	66,43;	63,56;	63,4;	62,27;	60,49;	60,0;	54,65;	54,35;	53,5;	53,45;	51,07;	50,86;	49,08;	48,65;	46,91;	45,98;	45,44;	44,29;	44,08;	42,62;	38,08;	37,67;	37,4;	36,53;	35,41;	34,45;	34,03;	33,8;	32,9;	31,1;	30,85;	29,13;	28,28;	27,68;	26,94;	26,28;	25,57;	23,48;	22,15;	21,11;	20,91;	20,17;	19,75;	18,54;	18,41;	17,91;	17,44;	17,43;	17,31;	16,48;	15,97;	14,3;	13,57;	12,62;	12,14;	12,05;	11,39;	11,39;	10,77;	10,69;	10,14;	10,14;	9,8;	9,49;	9,11;	8,79;	8,33;	8,0;	7,93;	7,34;	7,17;	7,17;	7,1;	6,99;	6,79;	6,76;	6,7;	6,67;	6,43;	6,39;	6,35;	6,34;	6,34;	6,34;	6,34;	6,34;	6,34;	6,34;	6,34;	6,34;	6,34;	6,34;	6,34
6;	9;	8;	1,05;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	98,43;	95,2;	94,48;	93,3;	91,3;	89,67;	85,18;	82,55;	82,22;	82,04;	79,59;	78,42;	76,94;	76,85;	76,58;	73,5;	69,61;	66,41;	60,03;	57,73;	57,42;	55,13;	54,34;	52,26;	51,8;	50,48;	49,97;	49,62;	45,9;	44,75;	44,07;	43,29;	42,31;	41,35;	40,64;	40,14;	39,01;	38,02;	33,79;	33,05;	32,33;	31,9;	30,26;	30,23;	27,84;	27,55;	25,29;	24,71;	24,68;	24,44;	23,45;	22,88;	22,6;	21,03;	20,75;	17,44;	17,13;	16,71;	15,28;	15,03;	13,67;	13,01;	12,41;	12,15;	11,19;	10,23;	8,74;	8,7;	8,05;	7,76;	7,6;	6,04;	4,68;	3,35;	2,74;	1,41;	0,89;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
7;	-12;	8;	0,84;	80,52;	80,2;	79,25;	75,29;	75,06;	74,24;	68,2;	66,54;	64,5;	61,49;	60,87;	59,77;	59,7;	58,68;	57,71;	57,55;	56,33;	53,57;	52,29;	50,32;	49,67;	49,63;	48,44;	48,12;	47,74;	47,21;	47,1;	46,26;	44,91;	44,89;	44,62;	41,98;	39,78;	38,98;	37,39;	36,11;	35,92;	35,18;	35,12;	34,65;	33,29;	32,81;	31,97;	30,88;	30,85;	30,02;	29,83;	28,81;	26,42;	25,57;	24,61;	23,91;	23,88;	23,22;	22,8;	22,57;	21,83;	21,24;	19,93;	19,24;	19,03;	18,85;	18,25;	18,07;	17,77;	17,77;	16,85;	16,81;	16,68;	16,57;	16,3;	15,65;	15,48;	15,22;	15,16;	15,11;	14,89;	14,85;	14,73;	14,71;	14,46;	14,4;	14,39;	14,26;	14,21;	14,17;	14,15;	14,15;	14,15;	14,15;	14,15;	14,15;	14,15;	14,15;	14,15;	14,15;	14,15;	14,15;	14,15;	14,15;	14,15
8;	12;	8;	0,99;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	98,87;	97,35;	96,41;	91,73;	91,48;	90,17;	86,71;	85,01;	82,82;	81,66;	81,36;	79,31;	75,17;	74,67;	70,85;	70,37;	67,85;	64,56;	64,54;	63,68;	62,56;	59,97;	59,78;	57,39;	55,31;	54,66;	51,4;	49,81;	49,04;	47,63;	46,1;	45,09;	44,7;	41,59;	41,03;	40,85;	40,28;	39,91;	37,64;	36,57;	35,4;	34,17;	32,54;	31,57;	29,34;	27,27;	26,18;	25,59;	24,93;	24,01;	23,63;	20,69;	20,27;	18,55;	17,13;	16,8;	16,5;	16,47;	15,37;	14,89;	13,91;	13,56;	12,77;	11,37;	11,07;	10,57;	9,31;	8,12;	7,28;	6,54;	6,25;	6,05;	5,45;	4,33;	4,16;	3,99;	3,94;	3,71;	3,18;	2,35;	1,97;	1,65;	1,48;	1,15;	0,95;	0,54;	0,53;	0,13
9;	15;	8;	1,14;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	94,94;	94,89;	91,31;	91,06;	86,68;	80,67;	77,18;	74,71;	73,33;	73,05;	71,94;	70,34;	68,53;	68,23;	64,76;	61,33;	59,2;	54,98;	54,92;	54,25;	50,24;	49,32;	46,12;	41,16;	37,18;	35,38;	34,91;	32,36;	32,29;	32,28;	30,73;	26,94;	25,79;	24,98;	24,88;	23,71;	21,9;	21,55;	20,26;	18,76;	17,89;	17,46;	16,81;	14,47;	13,67;	12,87;	12,61;	10,56;	8,93;	7,85;	7,39;	6,86;	5,19;	5,16;	4,39;	4,17;	3,23;	3,12;	1,87;	0,87;	0,56;	0,29;	0,22;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
