0;	6;	1;	0,74;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,65;	98,93;	98,69;	98,34;	97,69;	97,17;	97,0;	96,6;	96,02;	96,0;	95,74;	95,46;	95,33;	95,13;	94,75;	94,59;	94,54;	94,19;	94,11;	94,07;	93,6;	93,49;	93,26;	92,88;	92,39;	92,21;	91,54;	91,39;	91,26;	91,24;	90,65;	90,04;	89,58;	89,16;	88,86;	88,51;	87,71;	87,58;	87,33;	86,96;	86,62;	86,41;	86,36;	86,14;	85,73;	85,7;	85,15;	84,77;	84,56;	83,92;	83,76;	83,44;	83,44;	83,36;	83,08;	82,85;	82,82;	82,32;	81,87;	81,17;	80,84;	80,61;	80,26;	79,73;	79,39;	79,33;	79,13;	78,6;	78,53;	78,53;	78,42;	78,31;	77,96;	77,82;	77,81;	77,39;	77,31;	76,64;	75,91;	75,82;	75,68;	75,53;	75,36;	75,26;	75,21;	74,59;	74,39;	74,12;	73,93;	73,62;	73,03;	72,33;	71,85;	71,43
1;	-4;	1;	0,96;	99,17;	99,15;	99,14;	98,01;	97,69;	97,51;	97,02;	96,49;	96,0;	95,91;	95,66;	95,07;	94,58;	94,14;	93,88;	93,19;	93,03;	92,55;	92,3;	91,79;	90,98;	90,58;	90,26;	90,24;	90,14;	90,02;	89,91;	89,08;	88,76;	88,52;	88,08;	87,64;	87,29;	86,7;	86,52;	86,02;	85,34;	84,95;	84,77;	83,99;	83,77;	83,59;	82,78;	82,47;	82,26;	82,24;	81,78;	81,28;	81,22;	81,09;	80,48;	80,38;	79,99;	79,94;	79,81;	79,36;	79,11;	78,98;	78,91;	78,69;	78,43;	78,24;	78,01;	77,39;	77,34;	77,22;	76,57;	76,43;	75,78;	75,54;	75,5;	74,56;	74,56;	74,31;	73,96;	73,89;	73,86;	73,55;	73,47;	72,86;	72,3;	71,75;	71,3;	70,95;	70,79;	70,66;	69,99;	69,74;	69,64;	69,12;	67,99;	67,63;	66,81;	66,52;	66,03;	65,77;	65,59;	65,57;	64,79;	64,24;	63,83
2;	-1;	1;	1,24;	99,13;	99,12;	98,88;	97,9;	97,09;	96,61;	96,37;	96,0;	95,26;	94,6;	94,3;	93,82;	93,49;	92,94;	91,76;	91,21;	90,57;	90,42;	90,23;	89,01;	88,21;	87,79;	87,17;	86,59;	86,41;	85,79;	85,52;	84,74;	84,39;	83,96;	83,83;	83,28;	82,64;	82,48;	82,45;	81,88;	81,66;	80,84;	80,51;	80,29;	80,12;	79,66;	78,19;	77,82;	77,33;	77,18;	76,99;	76,15;	75,8;	75,25;	74,58;	74,47;	74,04;	73,16;	73,0;	72,53;	72,44;	72,02;	71,7;	71,17;	69,45;	68,58;	67,09;	65,54;	65,15;	64,4;	63,83;	63,62;	63,21;	63,19;	62,36;	62,14;	62,02;	61,61;	61,36;	61,19;	60,25;	60,02;	59,17;	58,21;	57,53;	57,51;	57,02;	55,73;	55,15;	54,76;	54,36;	53,66;	52,77;	52,05;	51,64;	51,19;	50,6;	50,06;	49,56;	48,98;	48,92;	48,81;	48,59;	47,68;	47,6
3;	7;	1;	0,85;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,88;	99,58;	99,46;	98,88;	98,52;	97,97;	97,46;	96,98;	96,89;	95,99;	95,9;	95,68;	95,32;	95,05;	94,53;	94,2;	94,15;	93,75;	93,75;	93,15;	92,63;	92,52;	91,97;	91,88;	91,72;	91,45;	90,95;	90,71;	90,67;	90,66;	90,62;	90,45;	90,07;	89,84;	89,64;	89,61;	89,43;	88,82;	88,65;	88,54;	88,2;	87,99;	87,95;	87,35;	86,91;	86,66;	86,07;	85,46;	85,38;	85,23;	84,84;	84,81;	84,77;	84,47;	84,35;	84,09;	84,07;	83,98;	83,8;	83,76;	83,47;	83,34;	82,99;	82,74;	82,72;	81,6;	81,1;	80,92;	80,88;	80,76;	80,3;	79,86;	79,71;	79,03;	78,92;	78,28;	77,95;	77,77;	77,56;	77,51;	77,29;	76,08;	75,74;	75,52;	74,84;	74,07;	73,79;	72,6;	72,19;	71,63;	71,6;	71,19;	70,97
4;	-12;	1;	1,03;	95,53;	95,42;	95,18;	94,96;	94,45;	93,43;	92,97;	92,3;	92,04;	91,86;	91,38;	91,28;	90,4;	90,23;	90,2;	89,75;	89,35;	88,74;	87,85;	87,71;	87,36;	87,29;	86,77;	86,58;	86,54;	86,23;	85,86;	85,4;	85,08;	84,88;	84,87;	84,48;	84,44;	84,26;	83,92;	83,81;	83,5;	82,87;	82,14;	81,67;	81,26;	80,95;	80,37;	80,11;	79,18;	78,93;	78,62;	77,84;	77,71;	77,16;	77,08;	76,47;	76,26;	74,77;	74,02;	73,11;	73,1;	73,1;	72,82;	72,15;	71,91;	71,4;	70,12;	69,93;	69,89;	69,33;	67,96;	67,7;	67,27;	67,06;	66,24;	66,19;	66,15;	65,89;	65,46;	64,51;	64,27;	64,19;	63,83;	63,42;	62,92;	62,83;	62,8;	62,18;	61,37;	61,14;	61,14;	60,95;	60,75;	60,57;	60,39;	60,3;	59,36;	59,02;	58,77;	57,92;	57,77;	57,72;	57,72;	57,6;	57,22
5;	-3;	1;	0,97;	98,7;	98,65;	98,57;	97,88;	97,86;	97,33;	96,71;	96,12;	95,9;	94,99;	94,79;	94,58;	94,01;	93,35;	93,0;	92,51;	92,16;	91,64;	91,53;	91,23;	90,54;	90,19;	90,09;	89,92;	89,9;	89,74;	89,5;	88,85;	88,52;	88,15;	87,56;	87,11;	86,86;	86,65;	86,57;	86,21;	85,6;	85,52;	85,45;	85,21;	85,0;	84,79;	84,43;	84,27;	84,06;	83,89;	83,53;	83,5;	83,37;	83,04;	82,94;	82,77;	82,35;	81,63;	81,1;	81,01;	80,69;	80,46;	80,28;	79,72;	79,13;	78,91;	77,43;	77,07;	76,58;	76,53;	76,5;	76,45;	76,43;	75,84;	75,4;	74,45;	73,7;	73,69;	73,48;	73,36;	72,9;	72,61;	71,9;	71,81;	71,8;	71,45;	71,09;	70,86;	70,44;	70,32;	70,09;	69,75;	69,67;	69,2;	69,12;	69,11;	68,7;	67,81;	67,68;	67,39;	66,28;	65,94;	65,81;	65,47;	65,28
6;	-4;	1;	1,07;	98,37;	98,05;	97,91;	97,86;	97,62;	97,43;	96,97;	96,39;	95,8;	95,27;	94,58;	94,23;	93,29;	93,05;	92,77;	92,15;	92,11;	91,12;	90,8;	90,19;	89,38;	89,18;	89,07;	88,98;	88,68;	87,58;	86,97;	86,67;	85,91;	85,6;	85,02;	84,48;	84,33;	84,27;	84,1;	83,76;	83,33;	83,11;	82,88;	82,44;	82,12;	81,55;	81,22;	80,79;	80,78;	80,11;	79,52;	78,78;	78,36;	77,44;	77,09;	76,09;	76,05;	74,82;	73,92;	73,1;	72,58;	71,49;	70,89;	70,86;	70,3;	70,14;	69,73;	69,64;	69,33;	69,28;	68,51;	68,42;	67,54;	67,22;	66,41;	66,18;	65,66;	64,69;	64,62;	64,15;	64,11;	63,41;	63,29;	62,39;	62,24;	61,81;	61,45;	61,45;	60,86;	60,78;	60,57;	60,11;	59,94;	59,89;	59,43;	59,38;	58,92;	58,29;	57,28;	57,21;	56,94;	56,38;	56,31;	56,11;	55,78
7;	11;	1;	1,07;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,39;	99,0;	98,68;	98,43;	97,71;	97,23;	97,07;	97,04;	96,59;	95,26;	94,97;	94,8;	94,3;	94,04;	93,77;	93,31;	92,92;	92,71;	92,38;	92,27;	92,23;	91,87;	91,45;	91,05;	90,38;	89,89;	89,77;	89,0;	88,58;	88,29;	88,0;	87,41;	86,94;	86,37;	85,68;	85,33;	85,02;	84,62;	84,61;	84,31;	83,89;	82,87;	82,51;	82,27;	82,07;	81,93;	81,47;	80,45;	80,33;	79,79;	79,45;	79,37;	78,86;	78,74;	77,68;	77,37;	76,94;	75,99;	75,13;	75,04;	75,01;	74,61;	74,39;	74,38;	73,96;	73,68;	73,57;	73,36;	73,18;	72,81;	71,68;	71,66;	70,82;	70,7;	69,85;	69,49;	69,27;	68,71;	68,63;	68,42;	68,18;	67,94;	67,32;	66,84;	66,73;	66,63;	66,4;	65,86;	65,35
8;	-10;	1;	0,98;	96,48;	96,04;	95,46;	95,34;	94,73;	94,52;	94,11;	94,03;	93,57;	93,25;	92,25;	91,56;	91,14;	90,86;	90,64;	89,44;	89,25;	89,1;	88,17;	87,62;	87,24;	86,68;	85,59;	85,37;	84,43;	84,37;	83,91;	83,78;	83,05;	82,92;	82,47;	82,03;	80,81;	80,49;	80,36;	79,86;	79,42;	79,2;	78,84;	78,54;	78,45;	78,01;	77,92;	77,46;	76,96;	76,9;	76,57;	76,14;	75,8;	75,51;	74,84;	74,7;	74,29;	73,52;	73,34;	72,74;	72,57;	71,49;	71,49;	71,48;	71,34;	70,59;	69,63;	69,51;	68,87;	68,46;	67,87;	67,72;	67,51;	67,39;	66,58;	66,37;	66,35;	65,37;	65,04;	64,56;	64,46;	64,43;	64,3;	64,1;	63,72;	63,52;	63,4;	62,6;	61,45;	60,99;	60,11;	59,36;	59,34;	59,07;	57,9;	57,59;	57,08;	56,68;	56,07;	55,74;	55,63;	54,84;	54,82;	54,39;	53,92
9;	6;	1;	1,21;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,84;	99,48;	99,1;	98,68;	97,48;	97,11;	96,77;	96,61;	96,29;	95,5;	94,9;	94,81;	93,45;	93,2;	92,4;	91,78;	90,92;	89,94;	89,54;	89,49;	88,98;	88,12;	86,73;	86,38;	85,5;	85,25;	84,75;	84,52;	84,0;	83,76;	82,44;	82,32;	82,09;	81,99;	81,46;	79,89;	78,86;	77,59;	77,54;	76,52;	76,41;	75,73;	74,99;	74,91;	74,47;	73,78;	73,5;	73,44;	73,37;	73,2;	72,96;	72,08;	71,48;	71,33;	69,99;	69,72;	69,68;	68,48;	67,96;	67,15;	66,44;	66,22;	65,61;	65,25;	65,15;	64,15;	63,0;	62,28;	62,27;	61,28;	60,67;	60,59;	59,98;	59,81;	59,51;	58,27;	58,23;	57,73;	57,48;	57,26;	56,89;	56,84;	56,63;	56,58;	55,93;	55,84;	55,06;	53,9;	53,78;	53,64;	53,44;	53,42;	52,45;	51,71
