0;	3;	1;	1,11;	nan;	nan;	nan;	100,0;	99,71;	99,02;	98,18;	98,09;	97,71;	97,38;	96,66;	96,4;	96,2;	95,47;	94,77;	94,72;	94,26;	94,03;	93,92;	93,7;	93,37;	92,74;	91,99;	91,28;	90,82;	90,77;	90,21;	89,76;	89,5;	88,93;	88,3;	87,89;	87,84;	87,18;	86,5;	85,69;	85,13;	84,26;	83,5;	83,38;	83,31;	82,94;	82,18;	81,39;	80,8;	80,5;	80,28;	79,46;	78,82;	78,36;	78,1;	77,7;	77,39;	77,24;	77,04;	76,38;	75,74;	75,7;	75,42;	73,95;	73,91;	73,69;	73,24;	72,72;	72,22;	71,21;	70,91;	70,79;	70,71;	70,45;	69,51;	68,5;	68,3;	68,22;	68,19;	68,13;	68,02;	67,44;	67,18;	66,88;	66,65;	66,27;	65,48;	65,3;	64,34;	64,31;	64,09;	62,92;	61,92;	61,6;	61,26;	60,45;	59,41;	58,48;	57,57;	56,92;	56,75;	56,3;	55,75;	54,96;	54,84
1;	-15;	1;	0,92;	94,38;	94,07;	93,94;	93,9;	93,58;	93,09;	93,05;	92,27;	92,11;	91,78;	91,46;	91,46;	91,07;	90,92;	90,63;	90,42;	90,23;	90,13;	90,01;	89,59;	89,54;	88,75;	88,74;	88,45;	88,31;	87,49;	86,52;	86,32;	86,01;	85,27;	84,44;	84,18;	83,76;	83,64;	83,38;	82,84;	82,64;	82,63;	82,16;	81,41;	81,13;	80,87;	80,11;	79,7;	79,39;	79,13;	78,35;	78,19;	76,98;	76,9;	76,59;	76,52;	76,2;	76,07;	75,54;	74,58;	74,43;	74,41;	74,33;	73,51;	72,89;	72,53;	72,29;	72,18;	71,77;	71,6;	71,14;	71,1;	70,81;	70,01;	70,0;	69,39;	69,04;	68,92;	68,9;	67,99;	67,54;	66,97;	66,89;	66,83;	66,77;	66,44;	66,39;	65,84;	65,34;	65,09;	64,49;	64,16;	63,35;	62,61;	62,33;	62,0;	61,46;	61,11;	61,09;	60,07;	60,05;	60,01;	59,88;	59,45;	58,77
2;	-11;	1;	1,01;	97,44;	96,9;	96,41;	96,38;	95,81;	95,12;	95,12;	95,04;	94,17;	94,05;	93,65;	93,44;	92,91;	92,3;	92,09;	91,78;	91,45;	91,37;	90,75;	90,26;	90,14;	89,64;	89,35;	89,11;	88,09;	87,37;	86,96;	86,03;	85,39;	84,74;	84,63;	84,52;	83,83;	83,36;	83,04;	82,33;	82,08;	81,95;	81,91;	81,24;	81,13;	80,58;	80,0;	79,63;	79,2;	78,79;	78,27;	77,79;	77,66;	77,23;	77,03;	76,65;	76,49;	76,14;	75,91;	75,86;	75,62;	75,23;	73,84;	73,73;	73,44;	73,15;	73,0;	72,38;	72,36;	72,17;	72,01;	71,16;	70,77;	70,39;	69,71;	69,37;	68,6;	68,3;	68,11;	67,96;	67,23;	66,97;	66,42;	65,93;	65,66;	65,27;	64,73;	64,2;	63,67;	63,33;	62,58;	62,28;	61,89;	61,36;	61,25;	60,91;	60,62;	60,11;	59,17;	58,95;	57,72;	57,45;	57,42;	57,25;	56,77
3;	1;	1;	0,97;	nan;	100,0;	99,4;	99,14;	99,07;	98,97;	98,94;	98,88;	98,85;	98,1;	98,02;	97,05;	96,97;	96,49;	95,98;	95,74;	95,62;	94,7;	94,01;	93,42;	93,39;	93,32;	93,07;	93,0;	92,67;	92,45;	92,03;	91,56;	91,54;	90,93;	90,44;	90,35;	90,34;	90,16;	90,01;	89,91;	89,85;	89,82;	89,3;	89,0;	88,82;	87,6;	86,97;	86,43;	86,18;	85,76;	85,27;	84,97;	84,95;	84,73;	84,5;	83,39;	83,08;	82,87;	82,06;	82,0;	81,92;	81,69;	81,62;	81,5;	80,98;	80,56;	80,29;	80,2;	79,56;	79,33;	79,31;	79,02;	78,77;	77,96;	77,23;	76,77;	76,37;	75,39;	75,27;	74,34;	74,26;	74,12;	73,96;	73,0;	72,04;	71,7;	71,41;	71,36;	71,22;	70,71;	69,79;	69,7;	69,52;	68,94;	67,75;	67,56;	67,54;	67,42;	67,42;	66,89;	66,7;	66,44;	66,33;	66,21;	65,3
4;	-11;	1;	1,26;	92,82;	92,36;	92,32;	92,29;	92,17;	91,54;	91,26;	90,07;	89,39;	88,95;	88,13;	87,66;	87,34;	87,05;	86,51;	86,47;	85,72;	85,16;	85,08;	84,55;	84,33;	84,3;	83,65;	82,56;	82,28;	81,95;	81,17;	80,62;	80,39;	79,95;	79,29;	79,27;	78,75;	78,56;	78,24;	77,28;	77,0;	76,16;	75,69;	75,32;	75,02;	74,89;	73,57;	73,27;	71,42;	70,9;	69,6;	69,29;	68,27;	67,62;	67,51;	67,48;	66,89;	66,23;	65,82;	65,08;	64,96;	64,27;	64,14;	63,64;	62,65;	62,61;	61,42;	61,34;	60,57;	60,24;	60,16;	59,85;	59,23;	59,05;	58,85;	58,82;	58,03;	56,84;	56,28;	55,31;	54,28;	53,98;	53,73;	53,47;	53,17;	52,49;	51,82;	51,62;	51,28;	50,65;	50,51;	50,32;	49,77;	49,73;	49,05;	48,48;	47,98;	47,86;	46,77;	44,74;	44,19;	43,31;	42,78;	42,4;	42,13
5;	-11;	1;	1,12;	95,45;	94,92;	94,54;	93,7;	93,6;	92,78;	91,7;	91,26;	90,83;	90,69;	90,57;	90,53;	89,8;	89,5;	89,1;	88,96;	88,59;	88,37;	88,15;	87,82;	87,19;	86,79;	86,77;	85,94;	85,78;	85,43;	85,0;	83,98;	83,48;	83,25;	82,5;	82,43;	82,0;	81,24;	79,71;	79,48;	79,22;	78,5;	78,46;	77,71;	76,72;	76,59;	76,07;	75,83;	75,29;	74,79;	73,23;	73,12;	72,58;	72,22;	72,16;	71,2;	70,6;	69,89;	69,59;	69,4;	69,38;	69,34;	68,93;	68,31;	68,3;	67,53;	67,44;	67,21;	67,12;	66,39;	65,88;	65,29;	64,74;	64,2;	64,04;	63,96;	63,91;	63,32;	63,07;	62,38;	62,32;	61,17;	61,15;	60,77;	60,03;	59,88;	59,82;	59,05;	58,71;	58,54;	57,31;	57,2;	57,18;	56,57;	56,35;	55,77;	54,77;	54,1;	53,29;	52,92;	52,67;	51,99;	50,72;	50,51;	50,02
6;	1;	1;	1,1;	nan;	100,0;	99,52;	99,37;	98,68;	98,63;	98,46;	97,6;	97,47;	96,65;	96,13;	95,97;	95,73;	95,59;	95,01;	94,57;	93,46;	92,33;	91,34;	91,03;	90,29;	90,21;	89,42;	88,3;	87,22;	86,81;	86,39;	85,5;	85,15;	84,83;	83,39;	83,25;	83,07;	83,01;	82,65;	81,93;	81,29;	80,94;	80,75;	80,27;	80,16;	79,66;	79,45;	79,18;	78,6;	78,58;	78,42;	77,77;	77,75;	77,22;	76,52;	75,9;	75,16;	74,9;	73,86;	73,68;	73,48;	72,67;	72,03;	71,76;	71,75;	70,85;	70,4;	69,39;	69,38;	69,21;	68,05;	67,66;	67,63;	67,27;	66,17;	65,83;	65,77;	64,96;	64,85;	63,73;	63,62;	63,49;	63,31;	62,99;	62,92;	61,97;	60,99;	60,68;	60,5;	60,08;	59,77;	59,24;	58,79;	58,34;	57,62;	56,91;	56,6;	55,79;	55,51;	54,98;	54,88;	54,36;	54,25;	54,24;	53,63
7;	-23;	1;	0,88;	90,93;	90,48;	90,48;	90,17;	90,05;	89,68;	89,65;	89,46;	89,36;	89,28;	88,82;	88,7;	88,58;	88,45;	88,18;	87,91;	87,54;	87,06;	86,57;	86,41;	86,4;	85,96;	85,8;	85,76;	85,55;	85,43;	84,94;	84,9;	84,17;	83,64;	82,88;	82,56;	81,88;	81,4;	80,35;	80,2;	79,5;	79,37;	79,34;	78,79;	78,62;	78,51;	78,3;	78,23;	77,53;	77,08;	76,99;	76,86;	76,3;	76,26;	75,99;	75,2;	74,89;	74,78;	73,91;	73,86;	73,28;	72,77;	72,28;	71,73;	71,72;	71,48;	71,42;	71,04;	70,78;	70,01;	69,97;	69,53;	69,39;	68,42;	67,56;	66,52;	65,7;	65,11;	65,06;	64,33;	63,46;	62,71;	62,62;	62,55;	62,27;	62,1;	62,02;	61,2;	60,3;	60,12;	59,77;	59,23;	58,96;	58,73;	57,45;	57,31;	57,12;	56,68;	56,34;	55,79;	55,54;	55,27;	55,27;	54,82;	54,13
8;	-8;	1;	0,99;	96,07;	95,93;	95,59;	95,1;	94,78;	94,6;	94,52;	94,03;	93,54;	93,2;	92,85;	92,75;	91,76;	91,43;	90,94;	90,29;	90,24;	89,37;	89,26;	89,07;	88,55;	87,66;	87,51;	87,32;	87,29;	87,05;	86,91;	86,76;	86,45;	85,63;	85,62;	85,2;	85,2;	85,1;	84,81;	84,68;	84,4;	83,61;	82,91;	82,12;	81,95;	81,72;	80,89;	80,62;	80,15;	79,64;	79,24;	78,88;	78,63;	78,28;	78,03;	77,03;	76,83;	76,11;	75,8;	75,43;	75,26;	74,88;	74,64;	74,38;	74,14;	73,06;	72,69;	72,17;	71,76;	71,14;	70,32;	69,87;	69,82;	69,37;	69,24;	68,97;	68,89;	68,4;	68,18;	67,6;	67,18;	66,93;	66,78;	66,26;	66,21;	65,98;	65,38;	64,21;	63,65;	62,92;	61,97;	61,56;	60,86;	60,56;	60,27;	59,9;	59,81;	58,97;	58,53;	58,42;	57,98;	57,4;	57,05;	57,04;	56,57
9;	0;	1;	0,83;	100,0;	99,59;	99,06;	98,98;	98,79;	98,33;	97,43;	96,92;	96,84;	96,61;	96,34;	95,86;	95,79;	95,32;	94,97;	94,8;	93,85;	93,27;	93,22;	93,02;	92,43;	92,24;	91,98;	91,86;	91,24;	91,08;	90,68;	90,53;	89,91;	89,41;	89,32;	88,72;	88,43;	88,42;	88,4;	88,22;	88,05;	87,67;	87,35;	86,73;	86,54;	86,23;	86,18;	86,04;	85,47;	85,45;	85,17;	85,14;	84,91;	84,2;	84,02;	83,99;	83,47;	83,41;	83,4;	83,25;	83,02;	82,94;	82,57;	82,3;	81,34;	81,21;	80,91;	80,67;	80,58;	80,35;	79,84;	79,67;	79,34;	79,3;	78,95;	78,75;	78,38;	78,05;	77,61;	77,4;	77,24;	76,6;	76,52;	76,17;	76,13;	75,93;	75,55;	75,47;	75,44;	74,72;	74,43;	74,4;	74,06;	73,61;	73,08;	72,84;	72,16;	72,15;	71,81;	71,59;	71,12;	70,97;	70,23;	69,61;	68,73
