0;	-2;	8;	1,01;	99,1;	97,19;	95,6;	94,6;	92,2;	90,63;	88,91;	87,32;	87,31;	85,42;	85,0;	84,59;	83,19;	81,79;	79,55;	77,32;	75,9;	74,94;	74,7;	74,42;	73,34;	70,71;	70,02;	67,39;	65,75;	64,76;	64,6;	63,23;	62,93;	60,11;	57,81;	54,02;	53,39;	52,91;	52,67;	51,55;	49,58;	49,01;	47,38;	46,89;	46,86;	46,31;	46,09;	44,85;	44,17;	42,78;	40,82;	39,73;	37,96;	36,43;	34,5;	34,08;	32,42;	30,97;	30,13;	29,31;	29,03;	28,81;	28,38;	27,12;	26,39;	25,2;	25,11;	24,19;	23,62;	23,12;	22,72;	22,44;	21,55;	21,03;	20,32;	19,45;	18,95;	18,88;	18,39;	17,93;	17,14;	16,49;	16,41;	16,16;	16,09;	16,08;	16,05;	15,58;	15,31;	14,93;	14,92;	14,84;	14,68;	14,61;	14,48;	14,43;	14,37;	14,28;	14,21;	14,16;	14,15;	14,14;	14,14;	14,14;	14,14
1;	8;	8;	0,95;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	98,19;	97,15;	93,61;	92,7;	86,12;	83,78;	82,21;	82,05;	79,77;	75,27;	72,72;	70,13;	66,98;	63,2;	60,57;	58,92;	58,41;	57,39;	51,93;	51,43;	48,9;	47,38;	44,66;	42,81;	41,99;	37,19;	34,33;	32,68;	32,08;	28,15;	26,52;	26,31;	24,64;	24,38;	23,03;	22,29;	21,44;	20,93;	18,78;	17,2;	14,86;	13,69;	13,18;	12,69;	11,3;	11,23;	11,13;	10,7;	9,48;	8,98;	8,49;	7,84;	7,75;	6,43;	5,53;	4,84;	4,25;	3,75;	2,62;	2,0;	1,9;	0,58;	0,33;	0,12;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
2;	6;	8;	0,92;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	97,28;	97,05;	93,85;	93,46;	90,85;	86,66;	84,81;	84,8;	81,59;	79,64;	78,77;	78,53;	77,34;	76,4;	75,21;	71,24;	69,59;	69,09;	67,35;	65,33;	64,98;	64,36;	63,93;	63,06;	62,11;	59,78;	59,59;	58,98;	58,03;	57,05;	55,75;	55,35;	55,34;	53,01;	52,61;	50,2;	49,67;	48,17;	47,18;	44,12;	43,9;	43,72;	42,37;	39,19;	35,9;	35,72;	35,05;	34,89;	34,41;	32,67;	32,57;	32,13;	30,55;	29,38;	29,09;	28,29;	27,97;	26,97;	26,16;	26,09;	25,78;	25,63;	24,9;	24,63;	24,51;	23,68;	23,16;	22,55;	21,98;	21,92;	20,84;	20,07;	20,01;	19,68;	19,49;	18,77;	18,62;	18,61;	18,36;	17,69;	16,95;	16,95;	16,94;	16,88;	16,87;	16,33;	16,06;	15,63;	15,32;	15,13;	15,1;	14,92;	14,79;	14,51
3;	-7;	8;	1,0;	90,59;	89,4;	86,85;	84,27;	84,12;	83,87;	80,76;	79,43;	78,82;	77,87;	77,35;	76,95;	73,46;	73,21;	71,22;	69,17;	68,48;	67,33;	65,95;	63,02;	60,06;	58,64;	57,3;	56,31;	54,9;	53,93;	53,41;	52,88;	52,43;	51,23;	49,38;	46,46;	45,88;	45,02;	44,43;	43,89;	40,79;	39,26;	37,96;	37,5;	37,2;	37,17;	36,98;	36,91;	35,76;	35,75;	34,71;	33,41;	32,23;	30,96;	28,57;	28,27;	28,04;	27,44;	25,77;	25,32;	25,12;	25,07;	24,99;	23,58;	22,7;	22,58;	22,48;	21,85;	21,35;	21,24;	20,63;	20,51;	20,47;	19,71;	19,36;	18,98;	18,8;	18,37;	18,27;	17,89;	17,48;	16,98;	16,55;	16,52;	15,32;	15,15;	14,95;	14,26;	14,07;	13,93;	13,89;	13,72;	13,7;	13,65;	13,5;	13,45;	13,44;	13,44;	13,44;	13,44;	13,44;	13,44;	13,44;	13,44;	13,44
4;	16;	8;	1,06;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	97,89;	96,6;	94,43;	91,49;	88,27;	84,77;	83,13;	79,81;	78,81;	77,07;	75,09;	75,01;	72,62;	71,11;	68,79;	67,24;	65,48;	64,64;	63,48;	62,13;	58,48;	55,74;	54,75;	51,86;	51,46;	47,11;	45,64;	42,22;	42,13;	41,6;	40,78;	40,33;	38,98;	36,19;	35,15;	32,38;	32,12;	31,62;	30,73;	29,93;	29,64;	28,02;	23,78;	21,82;	21,54;	20,44;	19,85;	18,91;	18,52;	16,81;	14,07;	13,84;	13,37;	13,05;	12,54;	11,52;	9,69;	9,48;	9,17;	7,81;	6,84;	4,21;	3,65;	2,75;	1,72;	0,62;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0;	0,0
5;	20;	8;	0,99;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,82;	95,1;	93,58;	91,25;	89,02;	86,88;	85,9;	85,76;	85,15;	84,29;	83,69;	82,74;	81,96;	79,67;	75,46;	71,43;	70,59;	69,3;	66,74;	66,26;	64,9;	62,13;	55,76;	53,58;	50,21;	48,42;	47,68;	47,26;	45,85;	44,79;	41,87;	41,06;	38,52;	37,77;	37,69;	35,42;	34,07;	32,99;	30,39;	28,84;	28,28;	26,44;	23,36;	22,09;	21,77;	20,79;	18,9;	18,7;	18,63;	17,63;	17,02;	15,32;	14,52;	13,08;	12,56;	12,4;	12,33;	11,26;	10,8;	8,44;	7,78;	7,51;	7,48;	7,31;	6,94;	6,23;	5,71;	5,22;	5,2;	4,29;	3,79;	3,5;	3,28;	2,12;	1,74;	1,43;	0,92;	0,4;	0,08;	0,0
6;	-11;	8;	1,07;	80,08;	78,93;	77,9;	77,15;	74,0;	73,28;	72,65;	71,49;	66,25;	63,7;	63,33;	62,58;	60,16;	58,77;	56,78;	55,27;	54,51;	54,37;	52,66;	52,48;	49,38;	48,06;	47,69;	47,55;	47,06;	44,92;	44,81;	41,37;	39,96;	38,89;	38,45;	35,61;	33,53;	33,38;	32,62;	31,57;	28,23;	26,65;	26,65;	26,43;	25,7;	25,31;	23,47;	22,89;	22,6;	20,03;	19,43;	17,94;	16,76;	16,15;	16,11;	15,24;	14,19;	13,81;	13,47;	12,42;	11,59;	10,44;	10,35;	8,4;	8,19;	7,43;	6,85;	6,62;	6,07;	5,54;	5,48;	4,47;	4,22;	3,23;	3,12;	2,84;	2,58;	2,36;	1,97;	1,82;	1,79;	1,48;	1,17;	0,85;	0,67;	0,37;	0,14;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0;	0
7;	14;	8;	0,99;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	99,05;	96,47;	95,05;	94,89;	92,36;	91,9;	90,87;	89,43;	86,07;	84,84;	83,57;	81,23;	79,8;	78,35;	74,09;	72,31;	70,65;	69,87;	69,01;	67,44;	63,19;	61,09;	60,57;	59,37;	57,03;	55,69;	54,35;	52,6;	51,13;	49,33;	48,59;	47,24;	45,89;	45,7;	44,71;	42,2;	41,31;	40,98;	40,08;	39,85;	39,62;	39,24;	36,75;	35,94;	35,05;	34,14;	34,06;	31,07;	29,77;	29,26;	28,0;	26,86;	24,83;	24,39;	23,97;	23,66;	21,68;	20,52;	20,29;	19,25;	18,24;	17,59;	16,32;	15,77;	15,57;	13,69;	13,64;	13,44;	13,14;	13,09;	12,72;	12,25;	12,02;	11,98;	11,96;	11,15;	9,69;	9,62;	8,84;	8,45;	8,03;	7,5;	6,93;	6,02;	6,02;	5,8
8;	4;	8;	0,94;	nan;	nan;	nan;	nan;	100,0;	96,3;	94,4;	91,17;	89,97;	88,58;	88,4;	88,24;	84,88;	84,1;	83,68;	80,4;	77,5;	76,01;	72,62;	69,89;	68,43;	68,3;	65,22;	63,07;	61,54;	60,9;	60,02;	59,73;	58,54;	58,24;	56,63;	56,3;	53,77;	53,09;	50,01;	48,99;	46,34;	45,76;	44,36;	43,62;	41,86;	41,31;	39,73;	39,36;	38,75;	37,19;	37,01;	36,85;	36,78;	35,38;	34,98;	33,29;	30,61;	29,88;	29,01;	28,87;	27,84;	27,08;	25,72;	24,26;	24,06;	22,51;	20,55;	20,44;	20,19;	19,66;	17,77;	17,52;	16,96;	16,29;	15,18;	14,13;	13,89;	13,53;	12,85;	12,27;	10,45;	9,74;	9,67;	8,82;	8,2;	7,69;	7,48;	7,14;	7,07;	6,95;	6,53;	6,06;	5,99;	5,67;	5,49;	5,26;	5,24;	5,11;	4,99;	4,81;	4,44;	4,18;	4,15;	4,13;	4,11
9;	9;	8;	1,03;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	nan;	100,0;	97,94;	96,84;	92,9;	92,8;	92,13;	88,81;	87,16;	86,95;	85,4;	82,68;	79,87;	79,39;	78,15;	76,93;	76,75;	73,7;	73,41;	73,34;	71,85;	70,16;	67,23;	67,21;	66,38;	66,23;	64,23;	60,74;	56,72;	52,87;	51,39;	50,37;	48,26;	47,84;	43,03;	40,41;	39,47;	38,89;	38,15;	38,0;	37,26;	36,83;	36,49;	36,23;	35,03;	33,86;	33,72;	33,17;	32,59;	30,68;	29,98;	29,25;	27,64;	24,16;	23,84;	22,94;	22,51;	20,06;	19,91;	18,32;	17,37;	16,0;	14,33;	13,02;	12,71;	12,32;	10,98;	10,14;	9,03;	8,66;	8,35;	8,17;	7,66;	7,47;	7,17;	5,78;	5,23;	4,92;	4,04;	4,04;	3,36;	3,34;	3,29;	2,89;	2,73;	2,69;	2,68;	2,18;	1,98;	1,76;	1,39;	0,98;	0,94
