4L1005-105, 4, L, 100, 5, -10, 5, 0, 92.99, 1.89, 0.000, 66, 82.14, 0.71, 0.000, 80, 72.06, 0.84, 0.000, 88, 59.34, 1.01, 0.000, 94, 46.66, 1.28, 0.000, 98, 37.50, 1.55, 0.000, 100, 32.87, 1.69, 0.000, 2990.46
4L1007.5-105, 4, L, 100, 7.5, -10, 5, 0, 92.24, 2.30, 0.000, 66, 82.09, 0.92, 0.000, 80, 72.08, 1.02, 0.000, 88, 59.38, 1.17, 0.000, 94, 46.73, 1.40, 0.000, 98, 37.59, 1.67, 0.000, 100, 32.97, 1.81, 0.000, 3003.94
4L10010-105, 4, L, 100, 10, -10, 5, 0, 91.21, 2.76, 0.000, 66, 81.88, 1.13, 0.000, 80, 72.03, 1.23, 0.000, 88, 59.41, 1.38, 0.000, 94, 46.81, 1.56, 0.000, 98, 37.71, 1.82, 0.000, 100, 33.11, 1.98, 0.000, 2980.09
4L100505, 4, L, 100, 5, 0, 5, 0, 98.46, 0.52, 0.000, 66, 92.79, 0.62, 0.000, 80, 83.23, 0.90, 0.000, 88, 70.42, 1.02, 0.857, 94, 57.39, 1.35, 0.039, 98, 47.77, 1.71, 0.007, 100, 42.82, 1.89, 0.078, 2995.91
4L1007.505, 4, L, 100, 7.5, 0, 5, 0, 97.73, 1.06, 0.002, 66, 91.98, 0.75, 0.001, 80, 83.12, 1.05, 0.000, 88, 70.51, 1.18, 0.828, 94, 57.49, 1.47, 0.219, 98, 47.87, 1.81, 0.073, 100, 42.92, 1.99, 0.234, 3003.72
4L1001005, 4, L, 100, 10, 0, 5, 0, 96.74, 1.56, 0.001, 66, 91.05, 0.90, 0.328, 80, 82.84, 1.22, 0.000, 88, 70.47, 1.35, 0.873, 94, 57.56, 1.61, 0.405, 98, 47.98, 1.96, 0.234, 100, 43.05, 2.15, 0.432, 2967.13
4L1005105, 4, L, 100, 5, 10, 5, 0, 98.83, 0.12, 0.000, 66, 98.43, 0.26, 0.000, 80, 93.63, 0.84, 0.000, 88, 81.94, 0.98, 0.000, 94, 68.74, 1.37, 0.000, 98, 58.66, 1.76, 0.000, 100, 53.40, 1.96, 0.000, 2995.95
4L1007.5105, 4, L, 100, 7.5, 10, 5, 0, 98.71, 0.23, 0.000, 66, 97.60, 0.39, 0.000, 80, 92.97, 0.96, 0.000, 88, 81.58, 1.10, 0.000, 94, 68.62, 1.48, 0.000, 98, 58.70, 1.89, 0.000, 100, 53.52, 2.10, 0.000, 2979.61
4L10010105, 4, L, 100, 10, 10, 5, 0, 98.44, 0.54, 0.000, 66, 96.61, 0.54, 0.000, 80, 92.23, 1.10, 0.000, 88, 81.13, 1.24, 0.000, 94, 68.44, 1.62, 0.000, 98, 58.70, 2.05, 0.000, 100, 53.61, 2.27, 0.000, 3002.69
4L1005-1010, 4, L, 100, 5, -10, 10, 0, 93.10, 2.52, 0.000, 66, 82.03, 0.97, 0.000, 80, 71.97, 1.00, 0.000, 88, 59.71, 1.21, 0.000, 94, 46.85, 1.37, 0.000, 98, 37.38, 1.59, 0.000, 100, 32.56, 1.72, 0.000, 875.42
4L1007.5-1010, 4, L, 100, 7.5, -10, 10, 0, 92.27, 3.05, 0.000, 66, 81.98, 1.29, 0.000, 80, 71.94, 1.27, 0.000, 88, 59.71, 1.49, 0.000, 94, 46.89, 1.59, 0.000, 98, 37.46, 1.78, 0.000, 100, 32.67, 1.91, 0.000, 884.46
4L10010-1010, 4, L, 100, 10, -10, 10, 0, 91.34, 3.67, 0.000, 66, 81.78, 1.60, 0.000, 80, 71.89, 1.56, 0.000, 88, 59.72, 1.80, 0.000, 94, 46.97, 1.85, 0.000, 98, 37.58, 2.02, 0.000, 100, 32.81, 2.15, 0.000, 875.55
4L1005010, 4, L, 100, 5, 0, 10, 0, 98.48, 0.65, 0.000, 66, 92.60, 0.86, 0.000, 80, 83.25, 1.03, 0.000, 88, 70.86, 1.23, 0.584, 94, 57.54, 1.42, 0.212, 98, 47.54, 1.71, 0.002, 100, 42.39, 1.88, 0.017, 868.90
4L1007.5010, 4, L, 100, 7.5, 0, 10, 0, 97.78, 1.37, 0.014, 66, 91.84, 1.06, 0.073, 80, 83.08, 1.27, 0.000, 88, 70.91, 1.49, 0.701, 94, 57.67, 1.63, 0.474, 98, 47.70, 1.90, 0.109, 100, 42.56, 2.07, 0.175, 884.32
4L10010010, 4, L, 100, 10, 0, 10, 0, 96.79, 2.05, 0.050, 66, 90.90, 1.28, 0.686, 80, 82.78, 1.53, 0.020, 88, 70.89, 1.78, 0.778, 94, 57.75, 1.88, 0.655, 98, 47.82, 2.13, 0.276, 100, 42.70, 2.32, 0.363, 888.79
4L10051010, 4, L, 100, 5, 10, 10, 0, 98.88, 0.13, 0.000, 66, 98.30, 0.39, 0.000, 80, 93.52, 0.96, 0.000, 88, 82.40, 1.19, 0.000, 94, 69.00, 1.43, 0.000, 98, 58.56, 1.77, 0.000, 100, 53.10, 1.97, 0.000, 861.09
